School name,Community,Community of Schools,Cases among students and staff
"102ND ST EEC","South Los Angeles/Watts Community","Fremont Community of Schools",0
"107TH ST CSPP","","",0
"107TH ST EL","","",2
"107TH ST EL STEAM MAG","","",0
"109TH ST EL","Watts/Green Meadows Community","Achievement Network Community of Schools",0
"10TH ST EL","MacArthur Park Community","MacArthur Park Community of Schools",2
"112TH ST EEC","Watts/Green Meadows Community","Achievement Network Community of Schools",0
"112TH ST EL","","",0
"116TH ST EL","","",4
"116TH ST EL DTS","","",0
"118TH ST EL","South Los Angeles/Watts Community","Fremont Community of Schools",3
"118TH ST EL DTS","","",0
"122ND ST EL","","",3
"122ND ST EL DTS","","",0
"135TH ST EL","Gardena Community","Gardena Community of Schools",1
"135TH ST EL DTS","","",0
"153RD ST EL","","",1
"153RD ST EL DTS","","",0
"156TH ST EL","","",5
"15TH ST EL","San Pedro Community","San Pedro Community of Schools",3
"186TH ST CSPP","Gardena Community","Gardena Community of Schools",0
"186TH ST EL","","",2
"1ST ST EL","Boyle Heights Community","Boyle Heights Community of Schools",1
"1ST ST SPS","","",0
"20TH ST EL","Jefferson/South Central (West) Community","Jefferson/South Central (West) Community of Schools",0
"20TH ST EL DTS","","",1
"232ND PL EL","Carson Community","Carson Community of Schools",3
"232ND PL STEMM MAG","","",0
"24TH ST EEC","Manual Arts/Vermont Square Community","Manual Arts/Vermont Square Community of Schools",0
"24TH ST EL","","",6
"28TH ST EEC","Jefferson/South Central (West) Community","Jefferson/South Central (West) Community of Schools",0
"28TH ST EL","","",1
"28TH ST EL DOS","","",0
"2ND ST EL","Boyle Heights Community","Boyle Heights Community of Schools",1
"2ND ST EL DTS","","",0
"32ND ST USC PA MAG","Manual Arts/Vermont Square Community","Manual Arts/Vermont Square Community of Schools",0
"36TH ST EEC","LA Mid-City Community","LA Mid-City Community of Schools",0
"37TH ST EEC","Manual Arts/Vermont Square Community","Manual Arts/Vermont Square Community of Schools",0
"3RD ST EL","Fairfax Community","Fairfax Community of Schools",0
"3RD ST EL DTK","","",0
"3RD ST EL GIFTED MAG","","",0
"42ND ST EL","Baldwin Hills/Leimert Park Community","H.E.E.T. (C/D) Community of Schools",2
"42ND ST EL DWS","","",0
"49TH ST EL","Jefferson/South Central (East) Community","Historic Central Avenue Community of Schools",3
"4TH ST EEC","East Los Angeles Community","East Los Angeles Community of Schools",0
"4TH ST EL","","",2
"4TH ST PC","","",0
"4TH ST PC DTS","","",0
"52ND ST EL","South Mid-City Community","South Mid-City Community of Schools",0
"54TH ST EL","LA Mid-City Community","LA Mid-City Community of Schools",0
"59TH ST EL","Baldwin Hills/Leimert Park Community","H.E.E.T. (C/D) Community of Schools",1
"61ST ST CSPP","South Mid-City Community","South Mid-City Community of Schools",0
"61ST ST EL","","",0
"61ST ST EL DTS","","",0
"66TH ST EEC","Florence-Firestone/Watts Community","Rivera Community of Schools",0
"66TH ST EL","","",0
"6TH AVE EL","LA Mid-City Community","LA Mid-City Community of Schools",3
"6TH AVE EL DTS","","",0
"74TH ST EL","Baldwin Hills/Leimert Park Community","H.E.E.T. (C/D) Community of Schools",2
"74TH ST EL GIFTED MG","","",0
"75TH ST EEC","South Los Angeles/Watts Community","Fremont Community of Schools",0
"75TH ST EL","","",5
"75TH ST EL DTS","","",1
"7TH ST EL AI MAG","San Pedro Community","San Pedro Community of Schools",0
"92ND ST EL","Watts/Green Meadows Community","Achievement Network Community of Schools",3
"93RD ST EL","South Los Angeles/Watts Community","Fremont Community of Schools",0
"93RD ST EL DTS","","",0
"93RD ST EL STEAM MAG","","",0
"95TH ST EEC","Westmont/West Athens Community","H.E.E.T. (W) Community of Schools",0
"95TH ST EL","","",1
"96TH ST EL","Watts/Green Meadows Community","Achievement Network Community of Schools",0
"96TH ST EL DTS","","",0
"97TH ST EEC","South Los Angeles/Watts Community","Fremont Community of Schools",0
"99TH ST CSPP","Gardena Community","Gardena Community of Schools",0
"99TH ST EL","","",4
"9TH ST EL","Jefferson/South Central (West) Community","Jefferson/South Central (West) Community of Schools",1
"ACAD ENRICH SCI MAG","Reseda Community","Reseda Community of Schools",0
"ADAMS MS","Jefferson/South Central (West) Community","Jefferson/South Central (West) Community of Schools",0
"ADAMS MS GIFTED MAG","","",0
"ADDAMS HS","Granada Hills/Northridge Community","Kennedy/NAHS/VAAS Community of Schools",1
"AGGELER HS","Canoga Park/Chatsworth Community","Canoga Park/Chatsworth Community of Schools",0
"ALBION ST EEC","Lincoln Heights/El Sereno Community","Lincoln Heights/El Sereno Community of Schools",0
"ALBION ST EL","","",1
"ALDAMA EL","Eagle Rock/Highland Park Community","Eagle Rock/Highland Park Community of Schools",0
"ALDAMA EL DTS","","",0
"ALEXANDER SCS","Manual Arts/Vermont Square Community","Manual Arts/Vermont Square Community of Schools",0
"ALEXANDER SCS DTS","","",1
"ALEXANDRIA AV EL DTS","Downtown Community","Downtown Community of Schools",0
"ALEXANDRIA AVE EEC","","",0
"ALEXANDRIA AVE EL","","",3
"ALLESANDRO EL","Glassell Park/Los Feliz Community","Glassell Park/Los Feliz Community of Schools",2
"ALLESANDRO EL CL MAG","","",1
"ALLESANDRO SPS","","",0
"ALTA CAL GSTEAM MAG","North Hills/Panorama City Community","Monroe Community of Schools",0
"ALTA CALIFORNIA EL","","",0
"ALTA LOMA EL","LA Mid-City Community","LA Mid-City Community of Schools",0
"ALTA LOMA EL DTS","","",1
"AMANECER PC","East Los Angeles Community","East Los Angeles Community of Schools",0
"AMBLER AV GIFTED MAG","Carson Community","Carson Community of Schools",0
"AMBLER AVE EL","","",2
"AMBLER AVE EL DTS","","",0
"AMESTOY EL","Gardena Community","Gardena Community of Schools",2
"AMESTOY EL ML/MC MAG","","",0
"AMESTOY SPS","","",0
"ANATOLA AVE EL","Northridge/Reseda Community","Cleveland Community of Schools",2
"ANDASOL AVE EL","Granada Hills/Northridge Community","Kennedy/NAHS/VAAS Community of Schools",1
"ANDASOL AVE SPS","","",0
"ANGELES MESA EL","LA Mid-City Community","LA Mid-City Community of Schools",0
"ANGELES MSA DREAMS MG","","",3
"ANGELOU COMMUNITY SH","Jefferson/South Central (East) Community","Historic Central Avenue Community of Schools",2
"ANGEL'S GATE HS","San Pedro Community","San Pedro Community of Schools",0
"ANN ST EL","Lincoln Heights/El Sereno Community","Lincoln Heights/El Sereno Community of Schools",0
"ANNALEE AVE CSPP","Carson Community","Carson Community of Schools",0
"ANNALEE AVE EL","","",2
"ANNALEE AVE STEAM MAG","","",0
"ANNANDALE EL","Eagle Rock/Highland Park Community","Eagle Rock/Highland Park Community of Schools",0
"ANTON EEC","East Los Angeles Community","East Los Angeles Community of Schools",0
"ANTON EL","","",0
"ANTON EL DTS","","",0
"APPERSON ST EL","Sunland/Tujunga Community","Sunland/Tujunga Community of Schools",0
"ARAGON AVE EL","Glassell Park/Los Feliz Community","Glassell Park/Los Feliz Community of Schools",1
"ARLETA SH","Sun Valley Community","Sun Valley Community of Schools",2
"ARLINGTON HTS DTS","LA Mid-City Community","LA Mid-City Community of Schools",0
"ARLINGTON HTS EL","","",2
"ARMINTA ST EEC","Sun Valley Community","Sun Valley Community of Schools",0
"ARMINTA ST EL","","",2
"ARROYO SECO MUS/S MAG","Eagle Rock/Highland Park Community","Eagle Rock/Highland Park Community of Schools",1
"ASCOT AVE EL","Jefferson/South Central (East) Community","Historic Central Avenue Community of Schools",0
"ATWATER AVE EL","Glassell Park/Los Feliz Community","Glassell Park/Los Feliz Community of Schools",1
"ATWATER AVE EL DTS","","",0
"AUDUBON MS","Baldwin Hills/Leimert Park Community","H.E.E.T. (C/D) Community of Schools",2
"AUDUBON MS GIFTED MG","","",1
"AURORA EL","Jefferson/South Central (East) Community","Historic Central Avenue Community of Schools",3
"AURORA EL DTS","","",0
"AVALON GARDENS EL","Gardena Community","Gardena Community of Schools",5
"BACA ARTS ACA DTS","Florence-Firestone/Watts Community","Rivera Community of Schools",1
"BACA ARTS ACAD","","",0
"BAKEWELL PC","South Los Angeles/Watts Community","Fremont Community of Schools",0
"BALA","South Mid-City Community","South Mid-City Community of Schools",1
"BALBOA EL G/HG/HA MAG","Granada Hills/Northridge Community","Kennedy/NAHS/VAAS Community of Schools",5
"BALDWIN HILLS EL","Castle Heights Community","Hamilton Community of Schools",0
"BANCROFT GSTEAM MAG","Hollywood Community","Hollywood Community of Schools",0
"BANCROFT MS","","",0
"BANCROFT MS PA MG","","",1
"BANDINI ST EL","San Pedro Community","San Pedro Community of Schools",2
"BANDINI ST EL DTS","","",0
"BANNEKER CTC","Gardena Community","Gardena Community of Schools",0
"BANNING PA MAG","Wilmington Community","Wilmington Community of Schools",0
"BANNING SH","","",9
"BANNING SH CP MAG","","",0
"BANNING SH FF MAG","","",3
"BANNING SH STEAM MAG","","",2
"BARRETT EL","South Los Angeles/Watts Community","Fremont Community of Schools",0
"BARRETT EL DTS","","",0
"BARTON HILL CSPP","San Pedro Community","San Pedro Community of Schools",0
"BARTON HILL EL","","",0
"BARTON HILL MSTEAM MG","","",0
"BASSETT EL MAT MAG","Reseda Community","Reseda Community of Schools",2
"BASSETT ST EL","","",4
"BASSETT ST EL DTS"," Community"," Community of Schools",0
"BEACHY AVE CSPP","Sun Valley Community","Sun Valley Community of Schools",0
"BEACHY AVE EL","","",5
"BECKFORD CES","Canoga Park/Chatsworth Community","Canoga Park/Chatsworth Community of Schools",3
"BEETHOVEN ST EL","Venice Community","Venice Community of Schools",0
"BELL AC2T"," Community"," Community of Schools",0
"BELL GIFTED/STEM MAG","Bell/Cudahy/Maywood Community","Bell/Cudahy/Maywood Community of Schools",0
"BELL SH","","",7
"BELLINGHAM EL","North Hollywood/Valley Village Community","North Hollywood/Valley Village Community of Schools",0
"BELMONT SH","Downtown Community","Downtown Community of Schools",0
"BELVEDERE EL","East Los Angeles Community","East Los Angeles Community of Schools",0
"BELVEDERE MS","","",2
"BELVEDERE MS M/C MAG","","",0
"BELVEDERE MS STEAM MG","","",0
"BERENDO MS","Koreatown/Pico Union Community","Kreatwn/PcoUnion Community of Schools",2
"BERNSTEIN SH","Hollywood Community","Hollywood Community of Schools",3
"BERNSTEIN SH CA/CT MG","","",0
"BERNSTEIN SH STEM","","",2
"BERTRAND AVE EL","Reseda Community","Reseda Community of Schools",3
"BETHUNE MS","South Los Angeles/Watts Community","Fremont Community of Schools",4
"BETHUNE MS STM MAG","","",0
"BIRMINGHAM CHS"," Community"," Community of Schools",0
"BLDWN HLS GIFTED MAG","Castle Heights Community","Hamilton Community of Schools",3
"BLYTHE ST EL","Northridge/Reseda Community","Cleveland Community of Schools",1
"BONITA ST EL","Carson Community","Carson Community of Schools",3
"BOYLE HEIGHTS HS","Boyle Heights Community","Boyle Heights Community of Schools",0
"BOYLE HTS STEM MAG","","",0
"BRADDOCK DR CSPP","Venice Community","Venice Community of Schools",0
"BRADDOCK DR EL","","",2
"BRADDOCK DR EL DTM","","",0
"BRADDOCK GIFTED MAG","","",0
"BRADLEY EEC","Florence-Firestone/Watts Community","Rivera Community of Schools",0
"BRADLEY GLBL AWR MAG","Baldwin Hills/Leimert Park Community","H.E.E.T. (C/D) Community of Schools",2
"BRAINARD EL","Sunland/Tujunga Community","Sunland/Tujunga Community of Schools",0
"BRAVO SH MEDICAL MAG","Lincoln Heights/El Sereno Community","Lincoln Heights/El Sereno Community of Schools",1
"BREED ST EL","Boyle Heights Community","Boyle Heights Community of Schools",0
"BRENTWOOD EL SCI MAG","West LA Community","West LA Community of Schools",0
"BRIDGE ST EL","Boyle Heights Community","Boyle Heights Community of Schools",0
"BRIDGES SCHOOL","Wilmington Community","Wilmington Community of Schools",9
"BRIGHT EL","LA Mid-City Community","LA Mid-City Community of Schools",3
"BROAD AVE CSPP","Wilmington Community","Wilmington Community of Schools",0
"BROAD AVE EL","","",5
"BROAD AVE EL DTS","","",1
"BROADACRES AV EL","Carson Community","Carson Community of Schools",5
"BROADACRES VAPA MAG","","",0
"BROADOUS EEC","San Fernando Valley/Sylmar Community","San Fernando Valley/Sylmar Community of Schools",0
"BROADOUS EL","","",2
"BROADOUS EL STM MAG","","",1
"BROADWAY EL","Venice Community","Venice Community of Schools",0
"BROADWAY EL DTM","","",1
"BROADWAY EL DTS","","",0
"BROCKTON AVE EL","West LA Community","West LA Community of Schools",0
"BROOKLYN AVE EEC","East Los Angeles Community","East Los Angeles Community of Schools",0
"BROOKLYN AVE EL","","",1
"BRYSON AV EL STM MAG","South Gate Community","South Gate Community of Schools",3
"BRYSON AVE EL","","",1
"BUCHANAN EL DLC SP","Eagle Rock/Highland Park Community","Eagle Rock/Highland Park Community of Schools",0
"BUCHANAN EL STM MAG","","",1
"BUCHANAN ST EL","","",0
"BUDLONG AVE EL","South Mid-City Community","South Mid-City Community of Schools",1
"BURBANK BLVD EL","North Hollywood/Valley Village Community","North Hollywood/Valley Village Community of Schools",0
"BURBANK BLVD SPS","","",0
"BURBANK GIFTED/GL MG","","",1
"BURBANK MS A/T/C MAG","Eagle Rock/Highland Park Community","Eagle Rock/Highland Park Community of Schools",0
"BURBANK MS PA MAG","","",0
"BURKE HS","Panorama City Community","Panorama City Community of Schools",1
"BURROUGHS GIFTED MAG","Fairfax Community","Fairfax Community of Schools",7
"BURROUGHS MS","","",8
"BURTON ST EL","Panorama City Community","Panorama City Community of Schools",0
"BUSHNELL WAY CSPP","Eagle Rock/Highland Park Community","Eagle Rock/Highland Park Community of Schools",0
"BUSHNELL WAY DTS","","",0
"BUSHNELL WAY EL","","",0
"BYRD MS","Sun Valley Community","Sun Valley Community of Schools",5
"BYRD MS STM MAG","","",0
"CABRILLO AVE EEC","San Pedro Community","San Pedro Community of Schools",0
"CABRILLO AVE EL","","",7
"CABRILLO EL STEAM MG","","",1
"CAHUENGA EL","Koreatown/Pico Union Community","Kreatwn/PcoUnion Community of Schools",0
"CAHUENGA EL DOS","","",0
"CAHUENGA EL DTK","","",1
"CALABASH CA","Woodland Hills Community","Taft Community of Schools",5
"CALAHAN ST EL","Northridge/Reseda Community","Cleveland Community of Schools",2
"CALVERT CES","Woodland Hills Community","Taft Community of Schools",1
"CALVERT SPS","","",0
"CAMELLIA AVE EL","North Hollywood/Valley Village Community","North Hollywood/Valley Village Community of Schools",1
"CAMELLIA EL DTS","","",0
"CANFIELD AVE EL","Castle Heights Community","Hamilton Community of Schools",2
"CANOGA PARK EEC","Canoga Park/Chatsworth Community","Canoga Park/Chatsworth Community of Schools",0
"CANOGA PARK EL","","",3
"CANOGA PRK SH","","",0
"CANOGA PRK SH CAM MG","","",0
"CANOGA PRK SH EEVS MG","","",0
"CANTARA EL VAPA MAG","Northridge/Reseda Community","Cleveland Community of Schools",1
"CANTARA ST EL","","",0
"CANTERBURY AVE EL","Sun Valley Community","Sun Valley Community of Schools",3
"CANTERBURY GIFTED MAG","","",0
"CANYON CEL","West LA Community","West LA Community of Schools",2
"CAPISTRANO AVE EL","Canoga Park/Chatsworth Community","Canoga Park/Chatsworth Community of Schools",0
"CAPISTRANO SPS","","",0
"CARDENAS EL","Van Nuys/Valley Glen Community","Van Nuys/Valley Glen Community of Schools",3
"CARDENAS EL CSPP","","",0
"CARLSON HOSPITAL","North Hollywood/Valley Village Community","North Hollywood/Valley Village Community of Schools",0
"CARNEGIE MS","Carson Community","Carson Community of Schools",0
"CARNEGIE MS MED MAG","","",1
"CAROLDALE LC","","",0
"CARPENTER COMM CHTR","North Hollywood/Valley Village Community","North Hollywood/Valley Village Community of Schools",3
"CARSON ACAD ED & EMP","Carson Community","Carson Community of Schools",2
"CARSON ACAD MED ARTS","","",1
"CARSON SH","","",4
"CARSON SH MEDIA MAG","","",2
"CARSON ST EL","","",1
"CARSON-GORE ACADEMY","LA Mid-City Community","LA Mid-City Community of Schools",2
"CARSON-GORE DTS","","",0
"CARTHAY EL ES MAG","Castle Heights Community","Hamilton Community of Schools",1
"CARVER MS","Jefferson/South Central (East) Community","Historic Central Avenue Community of Schools",0
"CASTELAR ST EEC","Downtown Community","Downtown Community of Schools",0
"CASTELAR ST EL","","",0
"CASTELAR ST EL DTM","","",0
"CASTLE HTS EL","Castle Heights Community","Hamilton Community of Schools",0
"CASTLE HTS EL DWS","","",0
"CASTLEBAY LN CHTR","Granada Hills/Northridge Community","Kennedy/NAHS/VAAS Community of Schools",0
"CASTRO MS","Downtown Community","Downtown Community of Schools",0
"CATSKILL AVE EL","Carson Community","Carson Community of Schools",1
"CATSKILL AVE EL DTS","","",0
"CDS AGGELER","Canoga Park/Chatsworth Community","Canoga Park/Chatsworth Community of Schools",0
"CDS ALONZO","Hollywood Community","Hollywood Community of Schools",0
"CDS JOHNSON","South Los Angeles/Watts Community","Fremont Community of Schools",0
"CDS JOHNSTON","Harbor City/Lomita Community","Harbor City/Lomita Community of Schools",2
"CDS LONDON","Van Nuys/Valley Glen Community","Van Nuys/Valley Glen Community of Schools",1
"CDS TRI-C","Downtown Community","Downtown Community of Schools",0
"CDS WEST HOLLYWOOD","Fairfax Community","Fairfax Community of Schools",0
"CENTRAL HS","Downtown Community","Downtown Community of Schools",0
"CENTURY PARK EL","South Mid-City Community","South Mid-City Community of Schools",3
"CHANDLER EL","Van Nuys/Valley Glen Community","Van Nuys/Valley Glen Community of Schools",1
"CHAPMAN EL","Gardena Community","Gardena Community of Schools",0
"CHAPMAN EL DTM","","",0
"CHARNOCK ROAD EL","Castle Heights Community","Hamilton Community of Schools",1
"CHASE ST EEC","North Hills/Panorama City Community","Monroe Community of Schools",0
"CHASE ST EL","","",2
"CHATSWORTH CHS","Canoga Park/Chatsworth Community","Canoga Park/Chatsworth Community of Schools",3
"CHATSWORTH GSTEAM MG","","",0
"CHATSWORTH UP/CD MAG","","",2
"CHAVEZ EL","Lincoln Heights/El Sereno Community","Lincoln Heights/El Sereno Community of Schools",0
"CHAVEZ LA ARTES MAG","San Fernando Valley/Sylmar Community","San Fernando Valley/Sylmar Community of Schools",2
"CHAVEZ LA ASE","","",0
"CHAVEZ LA SJ HUM AC","","",1
"CHAVEZ LA TECH PREP","","",3
"CHEREMOYA AVE EL","Hollywood Community","Hollywood Community of Schools",0
"CHEREMOYA AVE SPS","","",0
"CHEVIOT HILLS HS","Castle Heights Community","Hamilton Community of Schools",0
"CIENEGA EL","LA Mid-City Community","LA Mid-City Community of Schools",0
"CIENEGA EL DTS","","",1
"CIMARRON AVE EL","South Mid-City Community","South Mid-City Community of Schools",0
"CIMARRON EL STEAM MAG","","",3
"CITY OF ANGELS","Lincoln Heights/El Sereno Community","Lincoln Heights/El Sereno Community of Schools",0
"CITY OF ANGELS VA #1"," Community"," Community of Schools",0
"CITY TERRACE DTM","Lincoln Heights/El Sereno Community","Lincoln Heights/El Sereno Community of Schools",0
"CITY TERRACE EL","","",0
"CLEVELAND CHS","Northridge/Reseda Community","Cleveland Community of Schools",6
"CLEVELAND CHS HUM MG","","",3
"CLEVELAND EEC","","",0
"CLEVELAND GMS MAG","","",1
"CLEVELAND INFANT CTR","","",0
"CLIFFORD ST M/T MAG","Glassell Park/Los Feliz Community","Glassell Park/Los Feliz Community of Schools",2
"CLINTON MS","Jefferson/South Central (West) Community","Jefferson/South Central (West) Community of Schools",0
"CLOVER AVE EL","Castle Heights Community","Hamilton Community of Schools",0
"COCHRAN MS","LA Mid-City Community","LA Mid-City Community of Schools",1
"COEUR D ALENE AVE EL","Venice Community","Venice Community of Schools",2
"COHASSET ST EL","North Hills/Panorama City Community","Monroe Community of Schools",0
"COHASSET ST EL DOS","","",1
"COLDWATER CYN DTS","Van Nuys/Valley Glen Community","Van Nuys/Valley Glen Community of Schools",0
"COLDWATER CYN EL","","",3
"COLFAX CEL","North Hollywood/Valley Village Community","North Hollywood/Valley Village Community of Schools",0
"COLISEUM ST CSPP","South Mid-City Community","South Mid-City Community of Schools",0
"COLISEUM ST EL","","",1
"COLLINS EEC","","",0
"COLUMBUS AVE EL","Van Nuys/Valley Glen Community","Van Nuys/Valley Glen Community of Schools",5
"COLUMBUS MS","Canoga Park/Chatsworth Community","Canoga Park/Chatsworth Community of Schools",0
"COLUMBUS MS MAC MAG","Van Nuys/Valley Glen Community","Van Nuys/Valley Glen Community of Schools",0
"COLUMBUS MS MMS MAG","Canoga Park/Chatsworth Community","Canoga Park/Chatsworth Community of Schools",0
"COMMONWLTH AV GAT MG","MacArthur Park Community","MacArthur Park Community of Schools",0
"COMMONWLTH AVE EL","","",0
"COMMUNITY EL MAG CS","West LA Community","West LA Community of Schools",0
"COMPTON AVE EL","Watts/Green Meadows Community","Achievement Network Community of Schools",2
"CONTRERAS LC ALC","MacArthur Park Community","MacArthur Park Community of Schools",1
"CONTRERAS LC BUS TR","","",2
"CONTRERAS LC GLBL ST","","",1
"CONTRERAS LC SOC JUS","","",2
"CORONA AVE EL","Bell/Cudahy/Maywood Community","Bell/Cudahy/Maywood Community of Schools",1
"CORONA AVE EL PKFLP","","",0
"CORTINES SCH OF VAPA","Downtown Community","Downtown Community of Schools",2
