School name,Community,Community of Schools,Cases among students and staff
"COUGHLIN EL","Sun Valley Community","Sun Valley Community of Schools",0
"COUGHLIN SPS","","",0
"COWAN AVE EL","Westchester Community","Westchester Community of Schools",0
"COWAN AVE EL DWS","","",0
"COWAN GIFTED/IH MAG","","",0
"CRENSHAW ARTS TECH"," Community"," Community of Schools",0
"CRENSHAW MAG STEMM","Baldwin Hills/Leimert Park Community","H.E.E.T. (C/D) Community of Schools",3
"CRESCENT HTS BL EEC","Castle Heights Community","Hamilton Community of Schools",0
"CRESCENT HTS BL EL MG","","",2
"CRESTWOOD ST STEAM MG","San Pedro Community","San Pedro Community of Schools",4
"CRUZ EEC","MacArthur Park Community","MacArthur Park Community of Schools",0
"CTC - WEST","Venice Community","Venice Community of Schools",0
"CURTISS MS","Carson Community","Carson Community of Schools",2
"CURTISS MS STEAM MAG","","",1
"DACOTAH EEC","Boyle Heights Community","Boyle Heights Community of Schools",0
"DAHLIA HTS EL","Eagle Rock/Highland Park Community","Eagle Rock/Highland Park Community of Schools",1
"DANA MS","San Pedro Community","San Pedro Community of Schools",5
"DANA MS STEAM MAG","","",3
"DANUBE AVE EL","Granada Hills/Northridge Community","Kennedy/NAHS/VAAS Community of Schools",1
"DARBY AVE EL","","",4
"DAYTON EEC","Glassell Park/Los Feliz Community","Glassell Park/Los Feliz Community of Schools",3
"DAYTON HEIGHTS EL","","",1
"DAYTON HEIGHTS UES MG","","",0
"DBM","Downtown Community","Downtown Community of Schools",4
"DE LA TORRE JR EL","Wilmington Community","Wilmington Community of Schools",1
"DE LA TORRE JR LAUP","","",0
"DE LA TORRE STEAM MG","","",0
"DEARBORN EL CA","North Hills/Panorama City Community","Monroe Community of Schools",2
"DEL AMO EL","Carson Community","Carson Community of Schools",0
"DEL OLMO EL","Downtown Community","Downtown Community of Schools",2
"DELEVAN DRIVE EL","Eagle Rock/Highland Park Community","Eagle Rock/Highland Park Community of Schools",0
"DENA EL","Boyle Heights Community","Boyle Heights Community of Schools",0
"DENKER AVE EL","Gardena Community","Gardena Community of Schools",4
"DENKER AVE EL DTK","","",0
"DIXIE CYN CC","Van Nuys/Valley Glen Community","Van Nuys/Valley Glen Community of Schools",2
"DODSON MS","San Pedro Community","San Pedro Community of Schools",1
"DODSON MS GIFTED MAG","","",5
"DODSON MS VAPA MAG","","",1
"DOLORES ST EEC","Carson Community","Carson Community of Schools",0
"DOLORES ST EL","","",3
"DOMINGUEZ EL","","",1
"DOMINGUEZ EL DTS","","",3
"DORRIS PLACE EL","Glassell Park/Los Feliz Community","Glassell Park/Los Feliz Community of Schools",1
"DORRIS PLACE SPS","","",0
"DORSEY SH","Baldwin Hills/Leimert Park Community","H.E.E.T. (C/D) Community of Schools",3
"DORSEY SH FEMS MAG","","",0
"DORSEY SH STM MAG","","",0
"DORSEY SM/L MAG","","",0
"DOWNTOWN CS/DMA/E MG","Downtown Community","Downtown Community of Schools",0
"DREW MS","Florence-Firestone/Watts Community","Rivera Community of Schools",2
"DREW MS GIFTED MAG","","",0
"DREW MS UP PBLC SRVC","","",0
"DYER ST EL","San Fernando Valley/Sylmar Community","San Fernando Valley/Sylmar Community of Schools",6
"DYMALLY SH","Florence-Firestone/Watts Community","Rivera Community of Schools",3
"DYMALLY SH BMS/R MAG","","",0
"EAGLE ROCK EL","Eagle Rock/Highland Park Community","Eagle Rock/Highland Park Community of Schools",2
"EAGLE ROCK EL HG MAG","","",0
"EAGLE ROCK HS","","",2
"EAGLE TREE CONTN HS","Carson Community","Carson Community of Schools",0
"EARHART HS","North Hollywood/Valley Village Community","North Hollywood/Valley Village Community of Schools",1
"EARLY COLLEGE ACAD","Jefferson/South Central (West) Community","Jefferson/South Central (West) Community of Schools",0
"EAST VALLEY SH","North Hollywood/Valley Village Community","North Hollywood/Valley Village Community of Schools",1
"EASTMAN AVE EEC","East Los Angeles Community","East Los Angeles Community of Schools",0
"EASTMAN AVE EL","","",0
"EASTMAN AVE EL DTS&D","","",0
"EASTSIDE LC AC2T"," Community"," Community of Schools",0
"EDISON MS","Florence-Firestone/Watts Community","Rivera Community of Schools",1
"EGL RCK EL GIFTED MG","Eagle Rock/Highland Park Community","Eagle Rock/Highland Park Community of Schools",0
"EGL RCK HS GIFTED MG","","",1
"EINSTEIN HS","North Hills/Panorama City Community","Monroe Community of Schools",0
"EL DORADO AVE EL","San Fernando Valley/Sylmar Community","San Fernando Valley/Sylmar Community of Schools",3
"EL ORO WAY CES","Granada Hills/Northridge Community","Kennedy/NAHS/VAAS Community of Schools",0
"EL SERENO EEC","Lincoln Heights/El Sereno Community","Lincoln Heights/El Sereno Community of Schools",0
"EL SERENO EL","","",0
"EL SERENO GIFTED MAG","","",0
"EL SERENO MS","","",0
"EL SERENO MS ESH MAG","","",1
"EL SERENO SPS","","",0
"EL SERENO STM MAG","","",0
"ELA OCC CENTER AC2T"," Community"," Community of Schools",0
"ELA OCC CTR","","",1
"ELA SKILLS CTR AC2T","","",0
"ELEMENTARY CDS","South Mid-City Community","South Mid-City Community of Schools",0
"ELIZABETH LC","Bell/Cudahy/Maywood Community","Bell/Cudahy/Maywood Community of Schools",1
"ELIZABETH LC DTA","","",0
"ELLINGTON HS","Westmont/West Athens Community","H.E.E.T. (W) Community of Schools",0
"ELYSIAN HTS ARTS MAG","Glassell Park/Los Feliz Community","Glassell Park/Los Feliz Community of Schools",1
"EMELITA ST EL","Reseda Community","Reseda Community of Schools",3
"EMERSON CC","West LA Community","West LA Community of Schools",0
"ENADIA WAY","Canoga Park/Chatsworth Community","Canoga Park/Chatsworth Community of Schools",0
"ENCINO CEL","Woodland Hills Community","Taft Community of Schools",0
"ERWIN EL","Van Nuys/Valley Glen Community","Van Nuys/Valley Glen Community of Schools",2
"ESCALANTE EEC","Bell/Cudahy/Maywood Community","Bell/Cudahy/Maywood Community of Schools",1
"ESCALANTE EL","","",2
"ESCUTIA CSPP","","",0
"ESCUTIA PC","","",0
"ESHELMAN AVE EL","Harbor City/Lomita Community","Harbor City/Lomita Community of Schools",1
"ESPERANZA EL","MacArthur Park Community","MacArthur Park Community of Schools",0
"ESTRELLA EEC","Jefferson/South Central (East) Community","Historic Central Avenue Community of Schools",0
"ESTRELLA EL","","",0
"EUCLID AVE EL","Boyle Heights Community","Boyle Heights Community of Schools",1
"EUCLID AVE EL DTS","","",4
"EUCLID EL GSTEAM MAG","","",0
"EVANS CAS"," Community"," Community of Schools",0
"EVERGREEN AVE EEC","Boyle Heights Community","Boyle Heights Community of Schools",1
"EVERGREEN AVE EL","","",4
"EVERGREEN HS","San Fernando Valley/Sylmar Community","San Fernando Valley/Sylmar Community of Schools",1
"FAIR AVE EEC","North Hollywood/Valley Village Community","North Hollywood/Valley Village Community of Schools",0
"FAIR AVE EL","","",3
"FAIRBURN AVE EL","West LA Community","West LA Community of Schools",2
"FAIRFAX SH","Fairfax Community","Fairfax Community of Schools",0
"FAIRFAX SH PA MAG","","",2
"FAIRFAX SH VA MAG","","",0
"FARMDALE EL","Lincoln Heights/El Sereno Community","Lincoln Heights/El Sereno Community of Schools",0
"FARMDALE EL DOS","","",0
"FERNANGELES DTS&DOS","Sun Valley Community","Sun Valley Community of Schools",0
"FERNANGELES EL","","",1
"FERNANGELES SPS","","",0
"FIGUEROA ST EL","Gardena Community","Gardena Community of Schools",5
"FISHBURN AVE EL","Bell/Cudahy/Maywood Community","Bell/Cudahy/Maywood Community of Schools",0
"FISHBURN AVE EL DTS","","",0
"FLEMING MS","Harbor City/Lomita Community","Harbor City/Lomita Community of Schools",6
"FLEMING MS STM MAG","","",0
"FLETCHER DR EL","Glassell Park/Los Feliz Community","Glassell Park/Los Feliz Community of Schools",0
"FLETCHER DR STEAM MG","","",0
"FLORENCE AVE EL","Huntington Park/Vernon Community","Huntington Park/Vernon Community of Schools",1
"FLORENCE AVE EL DTS","","",0
"FLOURNOY EL","Watts/Green Meadows Community","Achievement Network Community of Schools",0
"FLOURNOY EL DTS","","",0
"FLOURNOY EL STEAM MAG","","",0
"FORD BLVD EL","East Los Angeles Community","East Los Angeles Community of Schools",3
"FORD BLVD EL DTS","","",0
"FOSHAY LC","Manual Arts/Vermont Square Community","Manual Arts/Vermont Square Community of Schools",2
"FRANKLIN AVE EL","Glassell Park/Los Feliz Community","Glassell Park/Los Feliz Community of Schools",0
"FRANKLIN CAS AC2T"," Community"," Community of Schools",0
"FRANKLIN HS","Eagle Rock/Highland Park Community","Eagle Rock/Highland Park Community of Schools",2
"FRANKLIN HS DLA MAG","","",0
"FRANKLIN SH STM MAG","","",0
"FREMONT CAS AC2T"," Community"," Community of Schools",0
"FREMONT SH","South Los Angeles/Watts Community","Fremont Community of Schools",4
"FREMONT SH STEAM MAG","","",0
"FRIEDMAN OCC CTR"," Community"," Community of Schools",0
"FRIES AVE EL","Wilmington Community","Wilmington Community of Schools",0
"FROST MS","Granada Hills/Northridge Community","Kennedy/NAHS/VAAS Community of Schools",5
"FROST MS GMC MAG","","",0
"FROST MS STEAM MAG","","",2
"FULLBRIGHT AVE CSPP","Northridge/Reseda Community","Cleveland Community of Schools",0
"FULLBRIGHT AVE EL","","",1
"FULLBRIGHT AVE EL DT","","",0
"FULTON COLLEGE PREP","Panorama City Community","Panorama City Community of Schools",3
"FULTON CP CAM MAG","","",0
"GAGE MS","Huntington Park/Vernon Community","Huntington Park/Vernon Community of Schools",2
"GAGE MS STM MAG","","",0
"GAL KING SCH FOR STEM","LA Mid-City Community","LA Mid-City Community of Schools",0
"GARCETTI LA","Florence-Firestone/Watts Community","Rivera Community of Schools",0
"GARDEN GROVE EL","Reseda Community","Reseda Community of Schools",4
"GARDENA EEC","Gardena Community","Gardena Community of Schools",1
"GARDENA EL","","",0
"GARDENA EL DTS","","",0
"GARDENA SH","","",2
"GARDENA SH GB MAG","","",0
"GARDENA SH L/PS MAG","","",0
"GARDNER ST EL","Hollywood Community","Hollywood Community of Schools",0
"GARDNER ST SPS","","",0
"GARFIELD SH","East Los Angeles Community","East Los Angeles Community of Schools",4
"GARFIELD SH COSCI MG","","",0
"GARVANZA EL T/L MAG","Eagle Rock/Highland Park Community","Eagle Rock/Highland Park Community of Schools",0
"GARZA PC","Boyle Heights Community","Boyle Heights Community of Schools",0
"GATES ST EEC","Lincoln Heights/El Sereno Community","Lincoln Heights/El Sereno Community of Schools",0
"GATES ST EL","","",0
"GATES ST EL DTM","","",0
"GATES ST EL DTS","","",0
"GATES ST SPS","","",0
"GAULT ST CSPP","Reseda Community","Reseda Community of Schools",0
"GAULT ST EL","","",3
"GERMAIN ACAD AA","Canoga Park/Chatsworth Community","Canoga Park/Chatsworth Community of Schools",1
"GLASSELL PARK EEC","Glassell Park/Los Feliz Community","Glassell Park/Los Feliz Community of Schools",0
"GLASSELL PK STEAM MAG","","",1
"GLEDHILL EL STM MAG","North Hills/Panorama City Community","Monroe Community of Schools",2
"GLEDHILL ST EEC","","",0
"GLEDHILL ST EL","","",0
"GLEN ALTA EL","Lincoln Heights/El Sereno Community","Lincoln Heights/El Sereno Community of Schools",1
"GLENFELIZ BLVD EEC","Glassell Park/Los Feliz Community","Glassell Park/Los Feliz Community of Schools",0
"GLENFELIZ BLVD EL","","",2
"GLENWOOD EL","Sun Valley Community","Sun Valley Community of Schools",1
"GOMPERS MS","Watts/Green Meadows Community","Achievement Network Community of Schools",2
"GOMPERS MS STEAM MAG","","",0
"GOMPERS MS UP MED MAG","","",0
"GRAHAM EEC","Florence-Firestone/Watts Community","Rivera Community of Schools",0
"GRAHAM EL","","",7
"GRAHAM EL DTS","","",0
"GRANADA EL","Granada Hills/Northridge Community","Kennedy/NAHS/VAAS Community of Schools",3
"GRANADA HILLS CHT"," Community"," Community of Schools",0
"GRANADA SPS","Granada Hills/Northridge Community","Kennedy/NAHS/VAAS Community of Schools",0
"GRAND VIEW BLVD EL D","Venice Community","Venice Community of Schools",2
"GRAND VW BL EL","","",1
"GRANT EEC","Hollywood Community","Hollywood Community of Schools",0
"GRANT EL","","",11
"GRANT EL DTR","","",0
"GRANT SH","Van Nuys/Valley Glen Community","Van Nuys/Valley Glen Community of Schools",1
"GRANT SH CP/DA MAG","","",2
"GRANT SH HUM/IS MAG","","",3
"GRAPE ST EL","South Los Angeles/Watts Community","Fremont Community of Schools",1
"GRATTS EEC","MacArthur Park Community","MacArthur Park Community of Schools",0
"GRATTS LA FOR YS","","",6
"GRATTS LA FOR YS DOS","","",1
"GREY HS","Reseda Community","Reseda Community of Schools",0
"GRIDLEY ST EL","San Fernando Valley/Sylmar Community","San Fernando Valley/Sylmar Community of Schools",0
"GRIDLEY ST EL DTS","","",1
"GRIFFIN AVE EL","Lincoln Heights/El Sereno Community","Lincoln Heights/El Sereno Community of Schools",0
"GRIFFITH JNR VAPA MG","South Los Angeles/Watts Community","Fremont Community of Schools",0
"GRIFFITH JOYNER EL","","",0
"GRIFFITH MS STEAM MG","East Los Angeles Community","East Los Angeles Community of Schools",4
"GULF AVE EL","Wilmington Community","Wilmington Community of Schools",1
"GULF AVE EL STEAM MAG","","",0
"HADDON AV EL STEAM MG","San Fernando Valley/Sylmar Community","San Fernando Valley/Sylmar Community of Schools",0
"HADDON AVE CSPP","","",0
"HADDON AVE EEC","","",0
"HADDON AVE EL","","",0
"HALE CA","Woodland Hills Community","Taft Community of Schools",6
"HALE CA VAPA MAG","","",0
"HALE GIFTED/STEAM MG","","",1
"HALLDALE EL","Harbor City/Lomita Community","Harbor City/Lomita Community of Schools",2
"HAMASAKI MED/SCI MAG","East Los Angeles Community","East Los Angeles Community of Schools",1
"HAMASAKI SPS","","",0
"HAMILTON SH","Castle Heights Community","Hamilton Community of Schools",3
"HAMILTON SH HUMAN MG","","",2
"HAMILTON SH MUS PA MG","","",3
"HAMLIN CA","Canoga Park/Chatsworth Community","Canoga Park/Chatsworth Community of Schools",1
"HANCOCK PARK EL","Fairfax Community","Fairfax Community of Schools",0
"HARBOR CITY EL","Harbor City/Lomita Community","Harbor City/Lomita Community of Schools",3
"HARBOR OCC CTR"," Community"," Community of Schools",2
"HARDING ST EL","San Fernando Valley/Sylmar Community","San Fernando Valley/Sylmar Community of Schools",0
"HARMONY CSPP","Jefferson/South Central (East) Community","Historic Central Avenue Community of Schools",2
"HARMONY EL","","",5
"HARMONY EL DTS","","",0
"HARRISON ST EL","Lincoln Heights/El Sereno Community","Lincoln Heights/El Sereno Community of Schools",2
"HARRISON ST EL DTS","","",0
"HART ST CSPP","Canoga Park/Chatsworth Community","Canoga Park/Chatsworth Community of Schools",0
"HART ST EL","","",1
"HARTE PREP MS","Westmont/West Athens Community","H.E.E.T. (W) Community of Schools",2
"HARVARD EL","Hollywood Community","Hollywood Community of Schools",0
"HARVARD EL DTS","","",0
"HASKELL EL STEAM MAG","Granada Hills/Northridge Community","Kennedy/NAHS/VAAS Community of Schools",0
"HAWAIIAN AVE EEC","Wilmington Community","Wilmington Community of Schools",0
"HAWAIIAN AVE EL","","",0
"HAWAIIAN AVE STEAM MG","","",0
"HAWKINS SH C/DAGS","South Mid-City Community","South Mid-City Community of Schools",5
"HAWKINS SH CHAS","","",0
"HAWKINS SH RISE","","",0
"HAYNES CES","Woodland Hills Community","Taft Community of Schools",1
"HAZELTINE AVE CSPP","Van Nuys/Valley Glen Community","Van Nuys/Valley Glen Community of Schools",0
"HAZELTINE AVE EL","","",1
"HAZELTINE AVE EL DTS","","",0
"HELIOTROPE AVE EL","Bell/Cudahy/Maywood Community","Bell/Cudahy/Maywood Community of Schools",1
"HENRY MS","Granada Hills/Northridge Community","Kennedy/NAHS/VAAS Community of Schools",0
"HENRY MS COMP/M/S MAG","","",3
"HENRY MS VAPA MAG","","",2
"HERRICK AVE EL","San Fernando Valley/Sylmar Community","San Fernando Valley/Sylmar Community of Schools",0
"HESBY OAKS LEAD CHTR","Reseda Community","Reseda Community of Schools",0
"HIGHLAND PARK HS","Eagle Rock/Highland Park Community","Eagle Rock/Highland Park Community of Schools",0
"HILLCREST DR EL","South Mid-City Community","South Mid-City Community of Schools",1
"HILLCREST DR EL DTS","","",0
"HILLCREST EL MUS MAG","","",0
"HILLSIDE EL","Lincoln Heights/El Sereno Community","Lincoln Heights/El Sereno Community of Schools",0
"HOBART BLVD DTS","Koreatown/Pico Union Community","Kreatwn/PcoUnion Community of Schools",0
"HOBART BLVD EEC","","",0
"HOBART BLVD EL","","",1
"HOLLENBECK MS","Boyle Heights Community","Boyle Heights Community of Schools",0
"HOLLENBECK MS L/PS MG","","",0
"HOLLENBECK STEMM MAG","","",0
"HOLLYWOOD CAS AC2T"," Community"," Community of Schools",0
"HOLLYWOOD EL","Hollywood Community","Hollywood Community of Schools",0
"HOLLYWOOD SH","","",3
"HOLLYWOOD SH NM MAG","","",1
"HOLLYWOOD SH PA MAG","","",2
"HOLMES AVE EEC","Huntington Park/Vernon Community","Huntington Park/Vernon Community of Schools",1
"HOLMES AVE EL","","",0
"HOLMES MS","North Hills/Panorama City Community","Monroe Community of Schools",6
"HOLMES MS INT HMN MAG","","",1
"HOOPER AVE CSPP","Jefferson/South Central (East) Community","Historic Central Avenue Community of Schools",0
"HOOPER AVE EEC","","",0
"HOOPER AVE EL","","",4
"HOOPER AVE EL DTS","","",0
"HOOPER AVE PC","","",0
"HOOPER AVE PC DTS","","",0
"HOOVER ST EL","Koreatown/Pico Union Community","Kreatwn/PcoUnion Community of Schools",0
"HOPE HS","South Los Angeles/Watts Community","Fremont Community of Schools",0
"HOPE ST EL","Huntington Park/Vernon Community","Huntington Park/Vernon Community of Schools",0
"HUBBARD EL STEAM MAG","San Fernando Valley/Sylmar Community","San Fernando Valley/Sylmar Community of Schools",1
"HUBBARD ST EL","","",0
"HUERTA EL","Jefferson/South Central (West) Community","Jefferson/South Central (West) Community of Schools",1
"HUGHES EL","Bell/Cudahy/Maywood Community","Bell/Cudahy/Maywood Community of Schools",0
"HUGHES EL PKFLP","","",0
"HUGHES EL STM MAG","","",0
"HUMPHREYS AVE EL","East Los Angeles Community","East Los Angeles Community of Schools",0
"HUMPHREYS AVE EL DTS","","",0
"HUMPHREYS EL STM MAG","","",0
"HUNTINGTON DR EL","Lincoln Heights/El Sereno Community","Lincoln Heights/El Sereno Community of Schools",0
"HUNTINGTON DR EL DTS","","",0
"HUNTINGTON PK DTS","Huntington Park/Vernon Community","Huntington Park/Vernon Community of Schools",0
"HUNTNGTN PK CAS AC2T"," Community"," Community of Schools",0
"HUNTNGTN PK EL","Huntington Park/Vernon Community","Huntington Park/Vernon Community of Schools",3
"HUNTNGTN PK NW EL#7L","","",0
"HUNTNGTN PK SH","","",3
"HUNTNGTN PK SH MAG","","",0
"HYDE PARK EEC","Baldwin Hills/Leimert Park Community","H.E.E.T. (C/D) Community of Schools",0
"INDEPENDENCE DTS","South Gate Community","South Gate Community of Schools",0
"INDEPENDENCE EL","","",1
"INDEPENDENCE HS","Reseda Community","Reseda Community of Schools",2
"INDEPENDENCE STEM MG","South Gate Community","South Gate Community of Schools",1
"INTERNATIONAL ST LC","","",0
"IRVING MS MME MAG","Glassell Park/Los Feliz Community","Glassell Park/Los Feliz Community of Schools",7
"ISAACS AVALON HS","Wilmington Community","Wilmington Community of Schools",0
"IVANHOE EL","Glassell Park/Los Feliz Community","Glassell Park/Los Feliz Community of Schools",1
"JEFFERSON AC2T"," Community"," Community of Schools",0
"JEFFERSON SH","Jefferson/South Central (East) Community","Historic Central Avenue Community of Schools",1
"JOHNSON STEM ACADEMY","Westchester Community","Westchester Community of Schools",0
"JONES EL","Jefferson/South Central (West) Community","Jefferson/South Central (West) Community of Schools",0
"JONES PC","Manual Arts/Vermont Square Community","Manual Arts/Vermont Square Community of Schools",0
"JONES SPS","","",0
"JORDAN SH","South Los Angeles/Watts Community","Fremont Community of Schools",3
"JUSTICE ST ACAD CHTR","Woodland Hills Community","Taft Community of Schools",0
"KAHLO HS","Jefferson/South Central (West) Community","Jefferson/South Central (West) Community of Schools",0
"KENNEDY EL","Lincoln Heights/El Sereno Community","Lincoln Heights/El Sereno Community of Schools",0
"KENNEDY GIFTED/MD MG","Granada Hills/Northridge Community","Kennedy/NAHS/VAAS Community of Schools",1
"KENNEDY SH","","",2
"KENNEDY SH ADDFM MAG","","",0
"KENNEDY SH GLEA MAG","","",1
"KENTER CANYON EC","West LA Community","West LA Community of Schools",0
"KENTWOOD EEC","Westchester Community","Westchester Community of Schools",0
"KENTWOOD EL","","",0
"KESTER AVE EL","Van Nuys/Valley Glen Community","Van Nuys/Valley Glen Community of Schools",3
"KESTER EL GIFTED MAG","","",1
"KIM ACADEMY","Koreatown/Pico Union Community","Kreatwn/PcoUnion Community of Schools",0
"KIM EL","","",0
"KIM EL DOK","","",0
"KIM EL DTS","","",0
"KING JR EL","Manual Arts/Vermont Square Community","Manual Arts/Vermont Square Community of Schools",1
"KING JR EL DTS","","",0
"KING MS ESTEAM MAG","Glassell Park/Los Feliz Community","Glassell Park/Los Feliz Community of Schools",0
"KING MS GIFTED/AT MG","","",3
"KING MS MAG FLM/MDIA","","",0
"KING-DREW SH MD/S MG","Florence-Firestone/Watts Community","Rivera Community of Schools",0
"KINGSLEY EL","Hollywood Community","Hollywood Community of Schools",0
"KINGSLEY EL DTS","","",0
"KIRIYAMA CAS AC2T"," Community"," Community of Schools",0
"KITTRIDGE ST CSPP","Van Nuys/Valley Glen Community","Van Nuys/Valley Glen Community of Schools",0
"KITTRIDGE ST EL","","",0
"KITTRIDGE ST EL DTR","","",0
