School name,Community,Community of Schools,Cases among students and staff
"KITTRIDGE ST EL DTS","","",0
"KNOLLWOOD PREP ACAD","Granada Hills/Northridge Community","Kennedy/NAHS/VAAS Community of Schools",1
"KNOLLWOOD SPS","","",0
"KNOX EL","Watts/Green Meadows Community","Achievement Network Community of Schools",2
"KNOX EL DTS","","",0
"KNOX EL VAPA MAG","","",1
"KORENSTEIN CSPP","Sun Valley Community","Sun Valley Community of Schools",0
"KORENSTEIN EL","","",0
"LA ACADEMY STEAM MAG","Jefferson/South Central (East) Community","Historic Central Avenue Community of Schools",0
"LA SALLE AVE EL","Westmont/West Athens Community","H.E.E.T. (W) Community of Schools",0
"LA SALLE_AVE EL DTS","","",0
"LA TECH CENTER AC2T"," Community"," Community of Schools",0
"LACES MAG","Fairfax Community","Fairfax Community of Schools",3
"LAFAYETTE PARK PC","MacArthur Park Community","MacArthur Park Community of Schools",1
"LAFAYETTE PK PC CSPP","","",0
"LAKE BALBOA CP K-12","Reseda Community","Reseda Community of Schools",1
"LAKE ST PRIMARY","MacArthur Park Community","MacArthur Park Community of Schools",2
"LANAI RD EL","Woodland Hills Community","Taft Community of Schools",3
"LANE EL","East Los Angeles Community","East Los Angeles Community of Schools",1
"LANGDON AVE EL","North Hills/Panorama City Community","Monroe Community of Schools",6
"LANKERSHIM EL","North Hollywood/Valley Village Community","North Hollywood/Valley Village Community of Schools",1
"LASSEN EL","North Hills/Panorama City Community","Monroe Community of Schools",0
"LASSEN EL DTS","","",0
"LASSEN SPS","","",0
"LATONA AVE CSPP","Lincoln Heights/El Sereno Community","Lincoln Heights/El Sereno Community of Schools",0
"LATONA AVE EL","","",0
"LATONA AVE EL DTS","","",0
"LAUREL CACT MAG","Fairfax Community","Fairfax Community of Schools",1
"LAUREL EEC","","",0
"LAUSD/USC MA/ENG MAG","Manual Arts/Vermont Square Community","Manual Arts/Vermont Square Community of Schools",2
"LAWRENCE GIFTED MAG","Canoga Park/Chatsworth Community","Canoga Park/Chatsworth Community of Schools",0
"LAWRENCE MS","","",0
"LAWRENCE MS PS MAG","","",1
"LAWSON ACAD A/M/S EL","South Mid-City Community","South Mid-City Community of Schools",2
"LE CONTE MS","Hollywood Community","Hollywood Community of Schools",1
"LE CONTE MS CES MAG","","",0
"LE CONTE MS HEAT MAG","","",0
"LEAPWOOD EL","Carson Community","Carson Community of Schools",1
"LEE EL MED HLTH MAG","Downtown Community","Downtown Community of Schools",0
"LEGACY SH STEAM","South Gate Community","South Gate Community of Schools",2
"LEGACY SH VAPA","","",1
"LEICHMAN CPTC","Reseda Community","Reseda Community of Schools",0
"LELAND ST EL","San Pedro Community","San Pedro Community of Schools",0
"LELAND ST EL GA MAG","","",0
"LEMAY ST EEC","Reseda Community","Reseda Community of Schools",0
"LEMAY ST EL","","",3
"LEWIS HS","Sun Valley Community","Sun Valley Community of Schools",0
"LEXINGTON AVE CSPP","Glassell Park/Los Feliz Community","Glassell Park/Los Feliz Community of Schools",0
"LEXINGTON AVE PC","","",0
"LIBERTY BLVD EL","South Gate Community","South Gate Community of Schools",0
"LIECHTY MS","MacArthur Park Community","MacArthur Park Community of Schools",2
"LIGGETT ST EL","North Hills/Panorama City Community","Monroe Community of Schools",0
"LILLIAN ST EL","Huntington Park/Vernon Community","Huntington Park/Vernon Community of Schools",1
"LIMERICK AVE CSPP","Northridge/Reseda Community","Cleveland Community of Schools",0
"LIMERICK AVE EL","","",3
"LIMERICK AVE EL DTS","","",0
"LINCOLN ESP MAGNET","Lincoln Heights/El Sereno Community","Lincoln Heights/El Sereno Community of Schools",0
"LINCOLN SH","","",0
"LINCOLN SH STM MAG","","",0
"LIZARRAGA EL","Jefferson/South Central (West) Community","Jefferson/South Central (West) Community of Schools",1
"LIZARRAGA EL DTS","","",0
"LOCKE EEC","Watts/Green Meadows Community","Achievement Network Community of Schools",0
"LOCKE INFANT","","",0
"LOCKHURST DR CEL","Woodland Hills Community","Taft Community of Schools",2
"LOCKWOOD AVE EL","Glassell Park/Los Feliz Community","Glassell Park/Los Feliz Community of Schools",1
"LOGAN ACADEMY","Downtown Community","Downtown Community of Schools",0
"LOGAN ST EEC","","",0
"LOGAN ST EL DTS","","",0
"LOKRANTZ SP ED CTR","Reseda Community","Reseda Community of Schools",0
"LOMA VISTA EL","Bell/Cudahy/Maywood Community","Bell/Cudahy/Maywood Community of Schools",1
"LOMA VISTA EL DTS","","",0
"LOMITA EL M/S/T MAG","Harbor City/Lomita Community","Harbor City/Lomita Community of Schools",4
"LONDON HS","Van Nuys/Valley Glen Community","Van Nuys/Valley Glen Community of Schools",0
"LORENA ST EL","Boyle Heights Community","Boyle Heights Community of Schools",1
"LORENA ST EL DTS","","",0
"LORETO ST EL","Lincoln Heights/El Sereno Community","Lincoln Heights/El Sereno Community of Schools",1
"LORETO ST EL DTS","","",0
"LORNE ST EL","Northridge/Reseda Community","Cleveland Community of Schools",0
"LORNE ST EL STM MAG","","",1
"LOS ANGELES ACAD MS","Jefferson/South Central (East) Community","Historic Central Avenue Community of Schools",0
"LOS ANGELES EL","Koreatown/Pico Union Community","Kreatwn/PcoUnion Community of Schools",0
"LOS ANGELES SH","LA Mid-City Community","LA Mid-City Community of Schools",2
"LOS ANGELES STEAM MG","","",0
"LOS ANGELES TECH CTR"," Community"," Community of Schools",1
"LOS FELIZ STEMM MAG","Glassell Park/Los Feliz Community","Glassell Park/Los Feliz Community of Schools",4
"LOWMAN SP ED & CTC","Sun Valley Community","Sun Valley Community of Schools",0
"LOYOLA VILLG EL F/PAM","Westchester Community","Westchester Community of Schools",1
"MACARTHUR PK EL VAPA","MacArthur Park Community","MacArthur Park Community of Schools",2
"MACARTHUR PK VPA DTS","","",0
"MACES MAG","Bell/Cudahy/Maywood Community","Bell/Cudahy/Maywood Community of Schools",6
"MACK EL","Manual Arts/Vermont Square Community","Manual Arts/Vermont Square Community of Schools",0
"MACK EL DTS","","",0
"MACLAY MS","Sun Valley Community","Sun Valley Community of Schools",2
"MADISON EL","South Gate Community","South Gate Community of Schools",1
"MADISON EL DTS","","",0
"MADISON MS","Van Nuys/Valley Glen Community","Van Nuys/Valley Glen Community of Schools",0
"MADISON MS CS/ED MAG","","",0
"MADISON MS MED/M/S MG","","",2
"MAGNOLIA AVE CSPP","Koreatown/Pico Union Community","Kreatwn/PcoUnion Community of Schools",0
"MAGNOLIA AVE EL","","",3
"MAGNOLIA AVE EL DTS&","","",0
"MAGNOLIA SCI ACAD #2"," Community"," Community of Schools",2
"MAGNOLIA SCI ACAD #4","","",0
"MAGNOLIA SCI-BELL@SR","","",1
"MAIN ST EL","Jefferson/South Central (East) Community","Historic Central Avenue Community of Schools",2
"MAIN ST EL DTS","","",0
"MALABAR ST EL","Boyle Heights Community","Boyle Heights Community of Schools",2
"MANCHESTER AV CB MAG","South Los Angeles/Watts Community","Fremont Community of Schools",0
"MANCHESTER AVE EL","","",3
"MANHATTAN PLACE EL","Westmont/West Athens Community","H.E.E.T. (W) Community of Schools",2
"MANN UCLA COMM SCH","South Mid-City Community","South Mid-City Community of Schools",0
"MANUAL ARTS SH","Manual Arts/Vermont Square Community","Manual Arts/Vermont Square Community of Schools",2
"MANUAL ARTS SH CP MG","","",1
"MAPLE PC","Jefferson/South Central (West) Community","Jefferson/South Central (West) Community of Schools",0
"MAPLE PC DTS","","",0
"MAPLE SPS","","",1
"MAR VISTA EL","Venice Community","Venice Community of Schools",0
"MARIANNA AVE EL","East Los Angeles Community","East Los Angeles Community of Schools",0
"MARIANNA AVE EL DTS","","",0
"MARINA DEL REY MS","Venice Community","Venice Community of Schools",2
"MARINA DEL REY MS MAG","","",0
"MARINA EEC","","",0
"MARIPOSA-NABI PC","Koreatown/Pico Union Community","Kreatwn/PcoUnion Community of Schools",1
"MARK TWAIN MS","Venice Community","Venice Community of Schools",0
"MARK TWAIN MS WL MAG","","",0
"MARKHAM MS","South Los Angeles/Watts Community","Fremont Community of Schools",1
"MARKHAM MS HC MAG","","",0
"MARKHAM MS VAPA MAG","","",0
"MARLTON SCHOOL","Castle Heights Community","Hamilton Community of Schools",0
"MARQUEZ CHARTER","West LA Community","West LA Community of Schools",2
"MARQUEZ SH HPIAM","Huntington Park/Vernon Community","Huntington Park/Vernon Community of Schools",1
"MARQUEZ SH LIBRA","","",0
"MARQUEZ SH SOC JUS","","",0
"MARSHALL GIFTED MAG","Glassell Park/Los Feliz Community","Glassell Park/Los Feliz Community of Schools",0
"MARSHALL SH","","",5
"MARVIN EEC","Fairfax Community","Fairfax Community of Schools",1
"MARVIN EL","","",0
"MARVIN EL LANG MAG","","",1
"MAYALL ST AC A/T MAG","Granada Hills/Northridge Community","Kennedy/NAHS/VAAS Community of Schools",2
"MAYBERRY ST EL","Glassell Park/Los Feliz Community","Glassell Park/Los Feliz Community of Schools",1
"MAYBERRY ST EL DTS","","",0
"MAYWOOD ACADEMY SH","Bell/Cudahy/Maywood Community","Bell/Cudahy/Maywood Community of Schools",2
"MAYWOOD EL","","",0
"MAYWOOD EL CS MAG","","",1
"MCALISTER HS CYESIS","MacArthur Park Community","MacArthur Park Community of Schools",0
"MCAULIFFE EEC","Huntington Park/Vernon Community","Huntington Park/Vernon Community of Schools",1
"MCBRIDE SP ED CTR","Venice Community","Venice Community of Schools",0
"MCKINLEY AVE EL","Florence-Firestone/Watts Community","Rivera Community of Schools",2
"MELROSE AVE EL M/S MG","Fairfax Community","Fairfax Community of Schools",0
"MELVIN AVE EL","Northridge/Reseda Community","Cleveland Community of Schools",1
"MELVIN EL HUM/LEAD MG","","",0
"MENDEZ SH","Boyle Heights Community","Boyle Heights Community of Schools",1
"MENLO AVE EL","Manual Arts/Vermont Square Community","Manual Arts/Vermont Square Community of Schools",0
"MENLO AVE EL DTS","","",0
"MERIDIAN EEC","Eagle Rock/Highland Park Community","Eagle Rock/Highland Park Community of Schools",1
"METROPOLITAN HS","Boyle Heights Community","Boyle Heights Community of Schools",0
"MEYLER ST EL","Harbor City/Lomita Community","Harbor City/Lomita Community of Schools",1
"MEYLER ST EL DTS","","",0
"MICHELTORENA ST EL","Glassell Park/Los Feliz Community","Glassell Park/Los Feliz Community of Schools",1
"MICHELTORENA ST EL D","","",0
"MID-CITY AC2T"," Community"," Community of Schools",0
"MID-CITY PSES MAG","Fairfax Community","Fairfax Community of Schools",0
"MIDDLE COLLEGE HS","South Mid-City Community","South Mid-City Community of Schools",2
"MIDDLETON CSPP","Huntington Park/Vernon Community","Huntington Park/Vernon Community of Schools",0
"MIDDLETON ST EL","","",1
"MIDDLETON ST PC","","",0
"MIKES EEC","South Los Angeles/Watts Community","Fremont Community of Schools",0
"MILES AV EL STM MAG","Huntington Park/Vernon Community","Huntington Park/Vernon Community of Schools",0
"MILES AVE EEC","","",0
"MILES AVE EL","","",1
"MILES AVE EL DTS","","",0
"MILLER CTC","Northridge/Reseda Community","Cleveland Community of Schools",0
"MILLER EL","South Los Angeles/Watts Community","Fremont Community of Schools",4
"MILLIKAN CMS PA MAG","Van Nuys/Valley Glen Community","Van Nuys/Valley Glen Community of Schools",0
"MILLIKAN CMS SGE MAG","","",0
"MILLIKAN MS AC & PAM","","",0
"MIRAMONTE EEC","Florence-Firestone/Watts Community","Rivera Community of Schools",0
"MIRAMONTE EL","","",1
"MIRAMONTE EL DTS","","",0
"MISSION HS","San Fernando Valley/Sylmar Community","San Fernando Valley/Sylmar Community of Schools",0
"MONETA HS","Gardena Community","Gardena Community of Schools",0
"MONLUX EL","Van Nuys/Valley Glen Community","Van Nuys/Valley Glen Community of Schools",1
"MONLUX EL STM MAG","","",0
"MONROE SH","North Hills/Panorama City Community","Monroe Community of Schools",4
"MONROE SH FA MAG","","",1
"MONROE SH L/G MAG","","",0
"MONROE SH PA MAG","","",0
"MONTARA AVE EL","South Gate Community","South Gate Community of Schools",0
"MONTARA AVE EL DTS","","",2
"MONTARA EL STM MAG","","",0
"MONTE VISTA EEC","Eagle Rock/Highland Park Community","Eagle Rock/Highland Park Community of Schools",0
"MONTE VISTA ST EL","","",2
"MONTE VISTA ST FC MG","","",0
"MONTEREY HS","East Los Angeles Community","East Los Angeles Community of Schools",0
"MOORE M/S/T ACAD","Florence-Firestone/Watts Community","Rivera Community of Schools",3
"MORNINGSIDE EL","San Fernando Valley/Sylmar Community","San Fernando Valley/Sylmar Community of Schools",1
"MOSK CSPP","Northridge/Reseda Community","Cleveland Community of Schools",0
"MOSK EL","","",1
"MOSK EL STEAM MAG","","",0
"MOUNT GLEASON MS","Sunland/Tujunga Community","Sunland/Tujunga Community of Schools",1
"MOUNTAIN VIEW EL","","",0
"MOUNTAIN VIEW EL DTR","","",4
"MT GLEASON GIFTED MG","","",1
"MT GLEASON STEAM MG","","",0
"MT LUKENS HS","","",0
"MT WASHINGTON EL","Eagle Rock/Highland Park Community","Eagle Rock/Highland Park Community of Schools",0
"MUIR MS","South Mid-City Community","South Mid-City Community of Schools",2
"MUIR MS STM MAG","","",0
"MULHOLLAND MS","Reseda Community","Reseda Community of Schools",2
"MULHOLLAND MS PA MAG","","",3
"MULHOLLAND MS RBT MG","","",0
"MULTNOMAH GIFTED MAG","Lincoln Heights/El Sereno Community","Lincoln Heights/El Sereno Community of Schools",0
"MULTNOMAH ST EL","","",0
"MULTNOMAH ST EL ES MG","","",1
"MURCHISON EEC","","",0
"MURCHISON ST EL","","",1
"NAPA ST EL","Northridge/Reseda Community","Cleveland Community of Schools",0
"NAPA ST EL DTS","","",0
"NARBONNE SH","Harbor City/Lomita Community","Harbor City/Lomita Community of Schools",5
"NARBONNE SH BET MAG","","",1
"NARBONNE SH HARTS LA","","",0
"NARBONNE SH STEAM MG","","",0
"NAVA COLLEGE PREP","Jefferson/South Central (East) Community","Historic Central Avenue Community of Schools",0
"NAVA LEARNING ACADEMY","","",0
"NESTLE AVE CHARTER","Woodland Hills Community","Taft Community of Schools",1
"NESTLE AVE SPS","","",0
"NEVADA AVE EL","Canoga Park/Chatsworth Community","Canoga Park/Chatsworth Community of Schools",1
"NEVADA AVE EL DTS","","",0
"NEVIN AVE EL","Jefferson/South Central (East) Community","Historic Central Avenue Community of Schools",2
"NEW ACAD CANOGA PARK"," Community"," Community of Schools",0
"NEWCASTLE EL","Reseda Community","Reseda Community of Schools",4
"NEWMARK HS","Downtown Community","Downtown Community of Schools",0
"NIGHTINGALE GSTEM MG","Lincoln Heights/El Sereno Community","Lincoln Heights/El Sereno Community of Schools",0
"NIGHTINGALE MS","","",2
"NIGHTINGALE MS BET MG","","",0
"NIGHTINGALE MS MHK MG","","",0
"NIMITZ MS","Huntington Park/Vernon Community","Huntington Park/Vernon Community of Schools",2
"NIMITZ MS STM MAG","","",3
"NO HOLLYWD SH","North Hollywood/Valley Village Community","North Hollywood/Valley Village Community of Schools",9
"NO HOLLYWD SH HG MG","","",1
"NO HOLLYWD SH STEM MG","","",0
"NO HOLLYWD SH ZOO MG","","",1
"NO VALL OCC CTR AC2T"," Community"," Community of Schools",0
"NOBEL CMS","Canoga Park/Chatsworth Community","Canoga Park/Chatsworth Community of Schools",2
"NOBEL CMS STEAM MAG","","",0
"NOBLE AVE EEC","Panorama City Community","Panorama City Community of Schools",0
"NOBLE AVE EL","","",0
"NORMANDIE AVE CSPP","Manual Arts/Vermont Square Community","Manual Arts/Vermont Square Community of Schools",0
"NORMANDIE AVE EEC","","",0
"NORMANDIE AVE EL","","",1
"NORMANDIE AVE EL DTS","","",0
"NORMONT EEC","Harbor City/Lomita Community","Harbor City/Lomita Community of Schools",0
"NORMONT EL","","",0
"NORMONT EL  DTS","","",0
"NORTH VALLEY OCC CTR"," Community"," Community of Schools",1
"NORTHRIDGE ACAD SH","Granada Hills/Northridge Community","Kennedy/NAHS/VAAS Community of Schools",4
"NORTHRIDGE EEC","Northridge/Reseda Community","Cleveland Community of Schools",0
"NORTHRIDGE MH CAR MAG","","",2
"NORTHRIDGE MS","","",1
"NORWOOD ST EL","Manual Arts/Vermont Square Community","Manual Arts/Vermont Square Community of Schools",0
"NUEVA VISTA EL","Bell/Cudahy/Maywood Community","Bell/Cudahy/Maywood Community of Schools",0
"NUEVA VISTA VAPA MAG","","",0
"OBAMA EL","Panorama City Community","Panorama City Community of Schools",3
"OBAMA GLBL PREP ACAD","Manual Arts/Vermont Square Community","Manual Arts/Vermont Square Community of Schools",2
"OBAMA GPA STEAM MAG","","",0
"OCHOA LC","Bell/Cudahy/Maywood Community","Bell/Cudahy/Maywood Community of Schools",2
"OCHOA LC DTS","","",6
"OCHOA LC PKFLP","","",0
"ODYSSEY HS","South Gate Community","South Gate Community of Schools",0
"OLIVE VISTA MS","San Fernando Valley/Sylmar Community","San Fernando Valley/Sylmar Community of Schools",3
"OLIVE VISTA STEAM MG","","",1
"OLYMPIC PC","MacArthur Park Community","MacArthur Park Community of Schools",2
"O'MELVENY CSPP","San Fernando Valley/Sylmar Community","San Fernando Valley/Sylmar Community of Schools",0
"O'MELVENY EL","","",0
"OPEN CHARTER MAG","Westchester Community","Westchester Community of Schools",0
"ORCHARD ACADEMIES 2B","Bell/Cudahy/Maywood Community","Bell/Cudahy/Maywood Community of Schools",2
"ORCHARD ACADEMIES 2C","","",1
"ORTHOPAEDIC HSP SH MG","Jefferson/South Central (West) Community","Jefferson/South Central (West) Community of Schools",0
"OSCEOLA ST CSPP","San Fernando Valley/Sylmar Community","San Fernando Valley/Sylmar Community of Schools",0
"OSCEOLA ST EL","","",1
"OVERLAND AVE EL","Castle Heights Community","Hamilton Community of Schools",6
"OWENSMOUTH HS","Canoga Park/Chatsworth Community","Canoga Park/Chatsworth Community of Schools",1
"OXNARD ST EL","North Hollywood/Valley Village Community","North Hollywood/Valley Village Community of Schools",0
"PACIFIC BLVD DTS","Huntington Park/Vernon Community","Huntington Park/Vernon Community of Schools",0
"PACIFIC BLVD SCHOOL","","",2
"PACOIMA EEC","San Fernando Valley/Sylmar Community","San Fernando Valley/Sylmar Community of Schools",0
"PACOIMA MS","Sun Valley Community","Sun Valley Community of Schools",1
"PACOIMA MS CS/M MAG","","",2
"PACOIMA MS FMPA MAG","","",0
"PALISADES CEL","West LA Community","West LA Community of Schools",0
"PALISADES CHS"," Community"," Community of Schools",0
"PALMS EL","Castle Heights Community","Hamilton Community of Schools",0
"PALMS MS","","",0
"PALMS MS GIFTED MAG","","",1
"PALMS MS MMC MAG","","",0
"PANORAMA CITY CSPP","North Hills/Panorama City Community","Monroe Community of Schools",0
"PANORAMA CITY EL","","",2
"PANORAMA GSTEAM MAG","Panorama City Community","Panorama City Community of Schools",0
"PANORAMA SH","","",3
"PANORAMA SH SJL MAG","","",0
"PANORAMA SH SMIT MAG","","",2
"PARK AVE EL","Bell/Cudahy/Maywood Community","Bell/Cudahy/Maywood Community of Schools",1
"PARK AVE EL DTS","","",0
"PARK WESTERN EEC","San Pedro Community","San Pedro Community of Schools",0
"PARK WESTERN SPS","","",0
"PARK WSTN PL EL","","",1
"PARK WSTRN GSTEAM MAG","","",0
"PARKS CSPP","North Hills/Panorama City Community","Monroe Community of Schools",0
"PARKS LC","","",4
"PARKS/HUERTA EEC","South Mid-City Community","South Mid-City Community of Schools",0
"PARMELEE AVE EL","Florence-Firestone/Watts Community","Rivera Community of Schools",1
"PARMELEE AVE EL DTS","","",0
"PARTHENIA AC ART TEC","North Hills/Panorama City Community","Monroe Community of Schools",5
"PASEO DEL REY EL MAG","Westchester Community","Westchester Community of Schools",0
"PATTON HS","Harbor City/Lomita Community","Harbor City/Lomita Community of Schools",0
"PEARL SH JRNLS/CMM MG","Northridge/Reseda Community","Cleveland Community of Schools",0
"PEARY MS","Gardena Community","Gardena Community of Schools",5
"PEARY MS GIFTED MAG","","",0
"PEARY MS STEAM MAG","","",0
"PEREZ SP ED CTR","East Los Angeles Community","East Los Angeles Community of Schools",0
"PHOENIX HS","Venice Community","Venice Community of Schools",0
"PINEWOOD AVE EEC","Sunland/Tujunga Community","Sunland/Tujunga Community of Schools",0
"PINEWOOD AVE EL","","",0
"PIO PICO MS","LA Mid-City Community","LA Mid-City Community of Schools",1
"PLAINVIEW ACADEMC CA","Sunland/Tujunga Community","Sunland/Tujunga Community of Schools",0
"PLASENCIA EL","Downtown Community","Downtown Community of Schools",1
"PLASENCIA EL STEAM MG","","",3
"PLAYA DEL REY EL","Venice Community","Venice Community of Schools",0
"PLAYA VISTA EL","Westchester Community","Westchester Community of Schools",0
"PLUMMER EL","North Hills/Panorama City Community","Monroe Community of Schools",2
"PLUMMER EL CSPP","","",0
"POINDEXTER LAMOTTE EL","Manual Arts/Vermont Square Community","Manual Arts/Vermont Square Community of Schools",0
"POLITI EL","Koreatown/Pico Union Community","Kreatwn/PcoUnion Community of Schools",0
"POLYTECHNIC SH","Sun Valley Community","Sun Valley Community of Schools",1
"POLYTECHNIC STM MAG","","",0
"POMELO ARTS/SCI MAG","Woodland Hills Community","Taft Community of Schools",0
"POMELO COMMUNITY CS","","",2
"PORTER MS","Granada Hills/Northridge Community","Kennedy/NAHS/VAAS Community of Schools",4
"PORTER MS GIFTED MAG","","",3
"PORTER RANCH SCH DTK","Canoga Park/Chatsworth Community","Canoga Park/Chatsworth Community of Schools",0
"PORTER RANCH SCHOOL","","",4
"PORTOLA ACAD OF IA&T","Woodland Hills Community","Taft Community of Schools",1
"PORTOLA CM","","",2
"PORTOLA CM HG MAG","","",1
"PRESIDENT AVE EL","Harbor City/Lomita Community","Harbor City/Lomita Community of Schools",0
