"School name","Cases from school-based transmission"
"Unassigned",0
"102ND ST EEC",0
"107TH ST EL",0
"109TH ST EL",0
"10TH ST EL",0
"112TH ST EEC",0
"112TH ST EL",0
"116TH ST EL",0
"118TH ST EL",0
"122ND ST EL",0
"135TH ST EL",0
"153RD ST EL",0
"156TH ST EL",0
"15TH ST EL",0
"186TH ST EL",0
"1ST ST EL",0
"20TH ST EL",0
"232ND PL EL",0
"24TH ST EEC",0
"24TH ST EL",0
"28TH ST EEC",0
"28TH ST EL",0
"2ND ST EL",0
"32ND ST USC PA MAG",0
"36TH ST EEC",0
"37TH ST EEC",0
"3RD ST EL",0
"42ND ST EL",0
"49TH ST EL",0
"4TH ST EEC",0
"4TH ST EL",0
"4TH ST PC",0
"52ND ST EL",0
"54TH ST EL",0
"59TH ST EL",0
"61ST ST EL",0
"66TH ST EEC",0
"66TH ST EL",0
"6TH AVE EL",0
"74TH ST EL",0
"75TH ST EEC",0
"75TH ST EL",0
"7TH ST EL AI MAG",0
"92ND ST EL",0
"93RD ST EL",0
"95TH ST EEC",0
"95TH ST EL",0
"96TH ST EL",0
"97TH ST EEC",0
"99TH ST EL",0
"9TH ST EL",0
"ACAD ENRICH SCI MAG",0
"ADAMS MS",0
"ADDAMS HS",0
"AGGELER HS",0
"ALBION ST EEC",0
"ALBION ST EL",0
"ALDAMA EL",0
"ALEXANDER SCS",0
"ALEXANDRIA AVE EEC",0
"ALEXANDRIA AVE EL",0
"ALLESANDRO EL",0
"ALTA CALIFORNIA EL",0
"ALTA LOMA EL",0
"AMANECER PC",0
"AMBLER AVE EL",0
"AMESTOY EL",0
"ANATOLA AVE EL",0
"ANDASOL AVE EL",0
"ANGELES MESA EL",0
"ANGELOU COMMUNITY SH",0
"ANGEL'S GATE HS",0
"ANN ST EL",0
"ANNALEE AVE EL",0
"ANNANDALE EL",0
"ANTON EEC",0
"ANTON EL",0
"APPERSON ST EL",0
"ARAGON AVE EL",0
"ARLETA SH",0
"ARLINGTON HTS EL",0
"ARMINTA ST EEC",0
"ARMINTA ST EL",0
"ARMSTRONG MS",0
"ARROYO SECO MUS/S MAG",0
"ASCOT AVE EL",0
"ATWATER AVE EL",0
"AUDUBON MS",0
"AURORA EL",0
"AVALON GARDENS EL",0
"BACA ARTS ACAD",0
"BAKEWELL PC",0
"BALA",0
"BALBOA EL G/HG/HA MAG",0
"BALDWIN HILLS EL",0
"BANCROFT MS",0
"BANDINI ST EL",0
"BANNEKER CTC",0
"BANNING SH",0
"BARRETT EL",0
"BARTON HILL EL",0
"BASSETT ST EL",0
"BEACHY AVE EL",0
"BECKFORD CES",0
"BEETHOVEN ST EL",0
"BELL SH",0
"BELLINGHAM EL",0
"BELMONT SH",0
"BELVEDERE EL",0
"BELVEDERE MS",0
"BERENDO MS",0
"BERNSTEIN SH",0
"BERNSTEIN SH STEM",0
"BERTRAND AVE EL",0
"BETHUNE MS",0
"BLYTHE ST EL",0
"BONITA ST EL",0
"BOYLE HEIGHTS HS",0
"BOYLE HTS STEM MAG",0
"BRADDOCK DR EL",0
"BRADLEY EEC",0
"BRADLEY GLBL AWR MAG",0
"BRAINARD EL",0
"BRAVO SH MEDICAL MAG",0
"BREED ST EL",0
"BRENTWOOD EL SCI MAG",0
"BRIDGE ST EL",0
"BRIDGES SCHOOL",0
"BRIGHT EL",0
"BROAD AVE EL",0
"BROADACRES AV EL",0
"BROADOUS EEC",0
"BROADOUS EL",0
"BROADWAY EL",0
"BROCKTON AVE EL",0
"BROOKLYN AVE EEC",0
"BROOKLYN AVE EL",0
"BRYSON AVE EL",0
"BUCHANAN ST EL",0
"BUDLONG AVE EL",0
"BURBANK BLVD EL",0
"BURBANK MS A/T/C MAG",0
"BURKE HS",0
"BURROUGHS MS",0
"BURTON ST EL",0
"BUSHNELL WAY EL",0
"BYRD MS",0
"CABRILLO AVE EEC",0
"CABRILLO AVE EL",0
"CAHUENGA EL",0
"CALABASH CA",0
"CALAHAN ST EL",2
"CALVERT CES",0
"CAMELLIA AVE EL",0
"CANFIELD AVE EL",0
"CANOGA PARK EEC",0
"CANOGA PARK EL",0
"CANOGA PRK SH",0
"CANTARA ST EL",0
"CANTERBURY AVE EL",0
"CANYON CEL",0
"CAPISTRANO AVE EL",0
"CARDENAS EL",0
"CARLSON HOSPITAL",0
"CARNEGIE MS",0
"CAROLDALE LC",0
"CARPENTER COMM CHTR",0
"CARSON ACAD ED & EMP",0
"CARSON ACAD MED ARTS",0
"CARSON SH",0
"CARSON ST EL",0
"CARSON-GORE ACADEMY",0
"CARTHAY EL ES MAG",0
"CARVER MS",0
"CASTELAR ST EEC",0
"CASTELAR ST EL",0
"CASTLE HTS EL",0
"CASTLEBAY LN CHTR",0
"CASTRO MS",0
"CATSKILL AVE EL",0
"CDS AGGELER",0
"CDS ALONZO",0
"CDS JOHNSON",0
"CDS JOHNSTON",0
"CDS LONDON",0
"CDS TRI-C",0
"CDS WEST HOLLYWOOD",0
"CENTRAL HS",0
"CENTURY PARK EL",0
"CHANDLER EL",0
"CHAPMAN EL",0
"CHARNOCK ROAD EL",0
"CHASE ST EEC",0
"CHASE ST EL",0
"CHATSWORTH CHS",0
"CHATSWORTH UP/CD MAG",0
"CHAVEZ EL",0
"CHAVEZ LA ARTES MAG",0
"CHAVEZ LA ASE",0
"CHAVEZ LA SJ HUM AC",0
"CHAVEZ LA TECH PREP",0
"CHEREMOYA AVE EL",0
"CHEVIOT HILLS HS",0
"CIENEGA EL",0
"CIMARRON AVE EL",0
"CITY OF ANGELS",0
"CITY TERRACE EL",0
"CLEVELAND CHS",0
"CLEVELAND EEC",0
"CLEVELAND INFANT CTR",0
"CLIFFORD ST M/T MAG",0
"CLINTON MS",0
"CLOVER AVE EL",0
"COCHRAN MS",0
"COEUR D ALENE AVE EL",0
"COHASSET ST EL",0
"COLDWATER CYN EL",0
"COLFAX CEL",0
"COLISEUM ST EL",0
"COLLINS EEC",0
"COLUMBUS AVE EL",0
"COLUMBUS MS",0
"COMMONWLTH AVE EL",0
"COMMUNITY EL MAG CS",0
"COMPTON AVE EL",0
"CONTRERAS LC ALC",0
"CONTRERAS LC BUS TR",0
"CONTRERAS LC GLBL ST",0
"CONTRERAS LC SOC JUS",0
"CORONA AVE EL",0
"CORTINES SCH OF VAPA",0
"COUGHLIN EL",0
"COWAN AVE EL",0
"CRENSHAW ARTS TECH",0
"CRENSHAW MAG STEMM",0
"CRESCENT HTS BL EEC",0
"CRESCENT HTS BL EL MG",0
"CRESTWOOD ST STEAM MG",0
"CRUZ EEC",0
"CURTISS MS",0
"DACOTAH EEC",0
"DAHLIA HTS EL",0
"DANA MS",0
"DANUBE AVE EL",0
"DARBY AVE EL",0
"DAYTON EEC",0
"DAYTON HEIGHTS EL",0
"DBM",0
"DE LA TORRE JR EL",0
"DEARBORN EL CA",0
"DEL AMO EL",0
"DEL OLMO EL",0
"DELEVAN DRIVE EL",0
"DENA EL",0
"DENKER AVE EL",0
"DIXIE CYN CC",0
"DODSON MS",0
"DOLORES ST EEC",0
"DOLORES ST EL",0
"DOMINGUEZ EL",0
"DORRIS PLACE EL",0
"DORSEY SH",0
"DREW MS",0
"DREW MS UP PBLC SRVC",0
"DYER ST EL",0
"DYMALLY SH",0
"EAGLE ROCK EL",0
"EAGLE ROCK HS",0
"EAGLE TREE CONTN HS",0
"EARHART HS",0
"EARLY COLLEGE ACAD",0
"EAST VALLEY SH",0
"EAST VALLEY SKLS CTR",0
"EASTMAN AVE EEC",0
"EASTMAN AVE EL",0
"EDISON MS",0
"EINSTEIN HS",0
"EL DORADO AVE EL",0
"EL ORO WAY CES",0
"EL SERENO EEC",0
"EL SERENO EL",0
"EL SERENO MS",0
"ELA OCC CTR",0
"ELEMENTARY CDS",0
"ELIZABETH LC",0
"ELLINGTON HS",0
"ELYSIAN HTS ARTS MAG",0
"EMELITA ST EL",0
"EMERSON CC",0
"ENADIA WAY",0
"ENCINO CEL",0
"ERWIN EL",0
"ESCALANTE EEC",0
"ESCALANTE EL",0
"ESCUTIA PC",0
"ESHELMAN AVE EL",0
"ESPERANZA EL",0
"ESTRELLA EEC",0
"ESTRELLA EL",0
"EUCLID AVE EL",0
"EVANS CAS",0
"EVERGREEN AVE EEC",0
"EVERGREEN AVE EL",0
"EVERGREEN HS",0
"FAIR AVE EEC",0
"FAIR AVE EL",0
"FAIRBURN AVE EL",0
"FAIRFAX SH",0
"FARMDALE EL",0
"FERNANGELES EL",0
"FIGUEROA ST EL",0
"FISHBURN AVE EL",0
"FLEMING MS",0
"FLETCHER DR EL",0
"FLORENCE AVE EL",0
"FLOURNOY EL",0
"FORD BLVD EL",0
"FOSHAY LC",0
"FRANKLIN AVE EL",0
"FRANKLIN HS",0
"FREMONT SH",0
"FRIEDMAN OCC CTR",0
"FRIES AVE EL",0
"FROST MS",0
"FULLBRIGHT AVE EL",0
"FULTON COLLEGE PREP",0
"GAGE MS",0
"GAL KING SCH FOR STEM",0
"GARCETTI LA",0
"GARDEN GROVE EL",0
"GARDENA EEC",0
"GARDENA EL",0
"GARDENA SH",0
"GARDNER ST EL",0
"GARFIELD SH",0
"GARVANZA EL T/L MAG",0
"GARZA PC",0
"GATES ST EEC",0
"GATES ST EL",0
"GAULT ST EL",0
"GERMAIN ACAD AA",0
"GLASSELL PARK EEC",0
"GLASSELL PK STEAM MAG",0
"GLEDHILL ST EEC",0
"GLEDHILL ST EL",0
"GLEN ALTA EL",0
"GLENFELIZ BLVD EEC",0
"GLENFELIZ BLVD EL",0
"GLENWOOD EL",0
"GOMPERS MS",0
"GOMPERS MS UP MED MAG",0
"GRAHAM EEC",0
"GRAHAM EL",0
"GRANADA EL",0
"GRAND VW BL EL",0
"GRANT EEC",0
"GRANT EL",0
"GRANT SH",0
"GRAPE ST EL",0
"GRATTS EEC",0
"GRATTS LA FOR YS",0
"GREY HS",0
"GRIDLEY ST EL",0
"GRIFFIN AVE EL",0
"GRIFFITH JOYNER EL",0
"GRIFFITH MS STEAM MG",0
"GULF AVE EL",0
"HADDON AVE EEC",0
"HADDON AVE EL",0
"HALE CA",0
"HALLDALE EL",0
"HAMASAKI MED/SCI MAG",0
"HAMILTON SH",0
"HAMLIN CA",0
"HANCOCK PARK EL",0
"HARBOR CITY EL",0
"HARBOR OCC CTR",0
"HARDING ST EL",0
"HARMONY EL",0
"HARRISON ST EL",0
"HART ST EL",0
"HARTE PREP MS",0
"HARVARD EL",0
"HASKELL EL STEAM MAG",0
"HAWAIIAN AVE EEC",0
"HAWAIIAN AVE EL",0
"HAWKINS SH C/DAGS",0
"HAYNES CES",0
"HAZELTINE AVE EL",0
"HELIOTROPE AVE EL",0
"HENRY MS",0
"HERRICK AVE EL",0
"HESBY OAKS LEAD CHTR",0
"HIGHLAND PARK HS",0
"HILLCREST DR EL",0
"HILLSIDE EL",0
"HOBART BLVD EEC",0
"HOBART BLVD EL",0
"HOLLENBECK MS",0
"HOLLYWOOD EL",0
"HOLLYWOOD SH",0
"HOLMES AVE EEC",0
"HOLMES AVE EL",0
"HOLMES MS",0
"HOOPER AVE EEC",0
"HOOPER AVE EL",0
"HOOPER AVE PC",0
"HOOVER ST EL",0
"HOPE HS",0
"HOPE ST EL",0
"HUBBARD ST EL",0
"HUERTA EL",0
"HUGHES EL",0
"HUMPHREYS AVE EL",0
"HUNTINGTON DR EL",0
"HUNTNGTN PK EL",0
"HUNTNGTN PK SH",0
"HYDE PARK EEC",0
"INDEPENDENCE EL",0
"INDEPENDENCE HS",0
"INTERNATIONAL ST LC",0
"IOVINE YOUNG CTR MAG",0
"IRVING MS MME MAG",0
"ISAACS AVALON HS",0
"IVANHOE EL",0
"JEFFERSON SH",0
"JOHNSON STEM ACADEMY",0
"JONES EL",0
"JONES PC",0
"JORDAN SH",0
"JUSTICE ST ACAD CHTR",0
"KAHLO HS",0
"KENNEDY EL",0
"KENNEDY SH",0
"KENTER CANYON EC",0
"KENTWOOD EEC",0
"KENTWOOD EL",0
"KESTER AVE EL",0
"KIM ACADEMY",0
"KIM EL",0
"KING JR EL",0
"KING MS MAG FLM/MDIA",0
"KING-DREW SH MD/S MG",0
"KINGSLEY EL",0
"KITTRIDGE ST EL",0
"KNOLLWOOD PREP ACAD",0
"KNOX EL",0
"KORENSTEIN EL",0
"LA SALLE AVE EL",0
"LACES MAG",0
"LAFAYETTE PARK PC",0
"LAKE BALBOA CP K-12",0
"LAKE ST PRIMARY",0
"LANAI RD EL",0
"LANE EL",0
"LANGDON AVE EL",0
"LANKERSHIM EL",0
"LASSEN EL",0
"LATONA AVE EL",0
"LAUREL CACT MAG",0
"LAUREL EEC",0
"LAWRENCE MS",0
"LAWSON ACAD A/M/S EL",0
"LE CONTE MS",0
"LEAPWOOD EL",0
"LEE EL MED HLTH MAG",0
"LEGACY SH STEAM",0
"LEGACY SH VAPA",0
"LEICHMAN CPTC",0
"LELAND ST EL",0
"LEMAY ST EEC",0
"LEMAY ST EL",0
"LEWIS HS",0
"LEXINGTON AVE PC",0
"LIBERTY BLVD EL",0
"LIECHTY MS",0
"LIGGETT ST EL",0
"LILLIAN ST EL",0
"LIMERICK AVE EL",0
"LINCOLN SH",0
"LIZARRAGA EL",0
"LOCKE EEC",0
"LOCKE INFANT",0
"LOCKHURST DR CEL",0
"LOCKWOOD AVE EL",0
"LOGAN ACADEMY",0
"LOGAN ST EEC",0
"LOKRANTZ SP ED CTR",0
"LOMA VISTA EL",0
"LOMITA EL M/S/T MAG",0
"LONDON HS",0
"LORENA ST EL",0
"LORETO ST EL",0
"LORNE ST EL",0
"LOS ANGELES ACAD MS",0
"LOS ANGELES EL",0
"LOS ANGELES SH",0
"LOS ANGELES TECH CTR",0
"LOS FELIZ STEMM MAG",0
"LOWMAN SP ED & CTC",0
"LOYOLA VILLG EL F/PAM",0
"MACARTHUR PK EL VAPA",0
"MACES MAG",0
"MACK EL",0
"MACLAY MS",0
"MADISON EL",0
"MADISON MS",0
"MAGNOLIA AVE EL",0
"MAGNOLIA SCI ACAD #2",0
"MAGNOLIA SCI ACAD #4",0
"MAGNOLIA SCI ACAD #6",0
"MAGNOLIA SCI-BELL@SR",0
"MAIN ST EL",0
"MALABAR ST EL",0
"MANCHESTER AVE EL",0
"MANHATTAN PLACE EL",0
"MANN UCLA COMM SCH",0
"MANUAL ARTS SH",0
"MAPLE PC",0
"MAR VISTA EL",0
"MARIANNA AVE EL",0
"MARINA DEL REY MS",0
"MARINA EEC",0
"MARIPOSA-NABI PC",0
"MARK TWAIN MS",0
"MARKHAM MS",0
"MARLTON SCHOOL",0
"MARQUEZ CHARTER",0
"MARQUEZ SH HPIAM",0
"MARQUEZ SH LIBRA",0
"MARQUEZ SH SOC JUS",0
"MARSHALL SH",0
"MARVIN EEC",0
"MARVIN EL",0
"MAYALL ST AC A/T MAG",0
"MAYBERRY ST EL",0
"MAYWOOD ACADEMY SH",0
"MAYWOOD EL",0
"MCALISTER HS CYESIS",0
"MCAULIFFE EEC",0
"MCBRIDE SP ED CTR",0
"MCKINLEY AVE EL",0
"MELROSE AVE EL M/S MG",0
"MELVIN AVE EL",0
"MENDEZ SH",0
"MENLO AVE EL",0
"MERIDIAN EEC",0
"METROPOLITAN HS",0
"MEYLER ST EL",0
"MICHELTORENA ST EL",0
"MID-CITY PSES MAG",0
"MIDDLE COLLEGE HS",0
"MIDDLETON ST EL",0
"MIDDLETON ST PC",0
"MIKES EEC",0
"MILES AVE EEC",0
"MILES AVE EL",0
"MILLER CTC",0
"MILLER EL",0
"MIRAMONTE EEC",0
"MIRAMONTE EL",0
"MISSION HS",0
"MONETA HS",0
"MONLUX EL",0
"MONROE SH",0
"MONTARA AVE EL",0
"MONTE VISTA EEC",0
"MONTE VISTA ST EL",0
"MONTEREY HS",0
"MOORE M/S/T ACAD",0
"MORNINGSIDE EL",0
"MOSK EL",0
"MOUNT GLEASON MS",0
"MOUNTAIN VIEW EL",0
"MT LUKENS HS",0
"MT WASHINGTON EL",0
"MUIR MS",0
"MULHOLLAND MS",0
"MULTNOMAH ST EL",0
"MURCHISON EEC",0
"MURCHISON ST EL",0
"NAPA ST EL",0
"NARBONNE SH",0
"NARBONNE SH HARTS LA",0
"NAVA COLLEGE PREP",0
"NAVA LEARNING ACADEMY",0
"NESTLE AVE CHARTER",0
"NEVADA AVE EL",0
"NEVIN AVE EL",0
"NEW ACAD CANOGA PARK",0
"NEWCASTLE EL",0
"NEWMARK HS",0
"NIGHTINGALE MS",0
"NIMITZ MS",0
"NO HOLLYWD SH",0
"NOBEL CMS",0
"NOBLE AVE EEC",0
"NOBLE AVE EL",0
"NORMANDIE AVE EEC",0
"NORMANDIE AVE EL",0
"NORMONT EEC",0
"NORMONT EL",0
"NORTH VALLEY OCC CTR",0
"NORTHRIDGE ACAD SH",0
"NORTHRIDGE EEC",0
"NORTHRIDGE MS",0
"NORWOOD ST EL",0
"NUEVA VISTA EL",0
"OBAMA EL",0
"OBAMA GLBL PREP ACAD",0
"OCHOA LC",0
"ODYSSEY HS",0
"OLIVE VISTA MS",0
"OLYMPIC PC",0
"O'MELVENY EL",0
"OPEN CHARTER MAG",0
"ORCHARD ACADEMIES 2B",0
"ORCHARD ACADEMIES 2C",0
"ORTHOPAEDIC HSP SH MG",0
"OSCEOLA ST EL",0
"OVERLAND AVE EL",0
"OWENSMOUTH HS",0
"OXNARD ST EL",0
"PACIFIC BLVD SCHOOL",0
"PACOIMA EEC",0
"PACOIMA MS",0
"PALISADES CEL",0
"PALMS EL",0
"PALMS MS",0
"PANORAMA CITY EL",0
"PANORAMA SH",0
"PARK AVE EL",0
"PARK WESTERN EEC",0
"PARK WSTN PL EL",0
"PARKS LC",0
"PARKS/HUERTA EEC",0
"PARMELEE AVE EL",0
"PARTHENIA AC ART TEC",0
"PASEO DEL REY EL MAG",0
"PATTON HS",0
"PEARL SH JRNLS/CMM MG",0
"PEARY MS",0
"PEREZ SP ED CTR",0
"PHOENIX HS",0
"PINEWOOD AVE EEC",0
"PINEWOOD AVE EL",0
"PIO PICO MS",0
"PLAINVIEW ACADEMC CA",0
"PLASENCIA EL",0
"PLAYA DEL REY EL",0
"PLAYA VISTA EL",0
"PLUMMER EL",0
"POINDEXTER LAMOTTE EL",0
"POLITI EL",0
"POLYTECHNIC SH",0
"POMELO COMMUNITY CS",0
"PORTER MS",0
"PORTER RANCH SCHOOL",0
"PORTOLA CM",0
"PRESIDENT AVE EL",0
"PRIMARY ACADEMY",0
"PT FERMIN EL MR/S MG",0
"PUEBLO DE LA HS",0
"PURCHE AVE EL",0
"QUEEN ANNE PL EL",0
"RAMONA EL",0
"RAMONA HS",0
"RAMONA INFANT",0
"RANCHITO AVE EL",0
"RANCHO DOMNGZ PREP",0
"RAYMOND AVE EL",0
"REED MS",0
"RESEDA CHARTER HS",0
"RESEDA EL",0
"REVERE CMS",0
"RFK AMBSDR GLBL EDU",0
"RFK AMBSDR GLBL LDSH",0
"RFK LA SH ARTS",0
"RFK NEW OPEN WLD",0
"RFK SCH VIS ARTS/HUM",0
"RFK UCLA COMM SCH",0
"RICHLAND AVE EL",0
"RIDE EL SMART ACAD",0
"RILEY HS CYESIS",0
"RIO VISTA EL",0
"RIORDAN PC",0
"RITTER EL",0
"RIVERA LC COM & TECH",0
"RIVERA LC GD STEAM AC",0
"RIVERA LC PERF ARTS",0
"RIVERA LC PUB SRV",0
"RIVERSIDE DR CS",0
"ROBERTI EEC",0
"ROCKDALE VAPA MAG",0
"RODIA HS",0
"ROGERS HS",0
"ROMER MS",0
"ROOSEVELT INFANT",0
"ROOSEVELT SH",0
"ROOSEVELT SH STM MAG",0
"ROSCOE EL",0
"ROSCOMARE RD EL",0
"ROSEMONT AVE EEC",0
"ROSEMONT AVE EL",0
"ROSEWOOD UP/UD MAG",0
"ROWAN AVE EL",0
"ROYBAL LC",0
"ROYBAL-ALLARD EL",0
"RUSSELL EL",0
"SALVIN SP ED CTR",0
"SAN ANTONIO EL",0
"SAN ANTONIO HS",0
"SAN FERNANDO EEC",0
"SAN FERNANDO EL",0
"SAN FERNANDO MS",0
"SAN FERNANDO MS IAM",0
"SAN FERNANDO SH",0
"SAN GABRIEL AVE EL",0
"SAN JOSE ST EL",0
"SAN MIGUEL EL",0
"SAN PASCUAL STEAM MG",0
"SAN PEDRO SH",0
"SAN PEDRO ST EL",0
"SANTANA ART AC",0
"SANTEE EC",0
"SATICOY EL",0
"SATURN ST EL",0
"SCIENCE AC STEM MAG",0
"SECONDARY CDS",0
"SELMA AVE EL",0
"SENDAK EL",0
"SEPULVEDA MS",0
"SERRANIA AVE CES",0
"SHARP AVE EL",0
"SHENANDOAH ST EEC",0
"SHENANDOAH ST EL",0
"SHERIDAN ST EL",0
"SHERMAN OAKS EL CS",0
"SHIRLEY AVE EL",0
"SHORT AVE EL",0
"SIERRA PARK EL",0
"SIERRA VISTA EL",0
"SLAWSON OCC CTR",0
"SOCES MAG",0
"SOLANO AVE EL",0
"SOLIS LA",0
"SOTO ST EL",0
"SOTOMAYOR ART/SCI MAG",0
"SOUTH EAST SH",0
"SOUTH GATE MS",0
"SOUTH GATE SH",0
"SOUTH PARK EL",0
"SOUTH SHORES EL PA MG",0
"SOUTHEAST MS",0
"STAGG ST EL",0
"STANFORD AVE EL",0
"STANFORD AVE PC",0
"STATE ST EEC",0
"STATE ST EL",0
"STERRY EL",0
"STEVENSON CCP",0
"STONEHURST STEAM MAG",0
"STONER AVE EL",0
"STONEY POINT HS",0
"STRATHERN ST EL",0
"SUN VALLEY MAG ET",0
"SUNLAND EL",0
"SUNNY BRAE AVE EL",0
"SUNRISE EL",0
"SUPERIOR ST EL",0
"SUTTER MS",0
"SYLMAR ACAD BH/E MAG",0
"SYLMAR CHS",0
"SYLMAR EL",0
"SYLMAR LDSHP ACAD",0
"SYLVAN PARK EEC",0
"SYLVAN PARK EL",0
"TAFT CHS",0
"TAPER AVE EL",0
"TARZANA EL",0
"TELFAIR AVE EEC",0
"TELFAIR AVE EL",0
"THOREAU HS",0
"TOLAND WAY EL",0
"TOLUCA LAKE EEC",0
"TOLUCA LAKE EL",0
"TOPANGA EL CS",0
"TOPEKA DR CAS",0
"TORRES ELA PA MAG",0
"TORRES ENG & TECH",0
"TORRES HS SJLA MAG",0
"TORRES HUM/ART/TECH",0
"TORRES RENAISSANCE",0
"TOWNE AVE EL",0
"TRINITY EEC",0
"TRINITY ST EL",0
"TULSA ST EL",0
"TWEEDY EL",0
"UNION AVE EL",0
"UNIVERSITY HS CHARTER",0
"UTAH ST EL",0
"VALERIO ST EL",0
"VALLEY ACAD ARTS/SCI",0
"VALLEY VIEW EL",0
"VAN DEENE AVE EL",0
"VAN GOGH CHTR",0
"VAN NESS AVE EL",0
"VAN NUYS EL",0
"VAN NUYS MS",0
"VAN NUYS SH",0
"VANALDEN AVE EEC",0
"VANALDEN AVE EL",0
"VAUGHN EEC",0
"VENA AVE EL",0
"VENICE SH",0
"VENICE SKILLS CENTER",0
"VERDGO HLS SH",0
"VERMONT AVE EL",0
"VERNON CITY EL",0
"VICTORIA AVE EL",0
"VICTORY BLVD EL",0
"VIEW PARK CONTN HS",0
"VINE ST EEC",0
"VINE ST EL",0
"VINEDALE COLLEGE PRP",0
"VINTAGE EL M/S/T MAG",0
"VIRGIL MS",0
"VIRGINIA RD EL",0
"VISTA DEL VALLE ACAD",0
"VISTA MS",0
"VLADOVIC HARBOR TPA",0
"VOCES MAG",0
"WADSWORTH AVE EEC",0
"WADSWORTH AVE EL",0
"WALGROVE AVE EL",0
"WALNUT PARK EL",0
"WALNUT PARK MS SJ/SL",0
"WALNUT PARK MS STEM",0
"WARNER AVE EL",0
"WASHINGTON PC",0
"WASHINGTON PREP SH",0
"WATERS EMP PREP CTR",0
"WEBSTER MS",0
"WEEMES EL",0
"WEIGAND AVE EL",0
"WELBY WAY CEL",2
"WESM HLTH/SPORTS MED",0
"WEST ADAMS PREP SH",0
"WEST ATHENS EL",0
"WEST HOLLYWOOD EL",0
"WEST VALLEY OCC CTR",0
"WEST VERNON AVE EL",0
"WESTERN AV TECH MAG",0
"WESTMINSTER AVE EEC",0
"WESTMINSTER MTES MAG",0
"WESTPORT HTS EL",0
"WESTSIDE GLBL AWR MAG",0
"WESTWOOD CEL",0
"WHITE EL",0
"WHITE MS",0
"WHITE POINT EL",0
"WHITMAN HS",0
"WIDNEY CPTC",0
"WILBUR CEA",0
"WILLENBERG SP ED CTR",0
"WILLOW EL",0
"WILMINGTON EEC",0
"WILMINGTON PARK EL",0
"WILMINGTON STEAM MAG",0
"WILSHIRE CREST EL",0
"WILSHIRE PARK EL",0
"WILSON SH",0
"WILSON-LINCOLN CAS",0
"WILTON PL EEC",0
"WILTON PL EL",0
"WINDSOR HILLS EL MAG",0
"WINNETKA AVE EL",0
"WISDOM EL",0
"WONDERLAND AVE EL",0
"WOODCREST EL",0
"WOODEN HS",0
"WOODLAKE ECC",0
"WOODLAND HILLS ACAD",0
"WOODLAND HILLS CES",0
"WOODLAWN AVE EL",0
"WRIGHT ENG DES MAG",0
"YES ACADEMY",0
"YORKDALE EL",0
"YOUNG HS",0
"YTH OPP UNLTD ALT HS",0
"District Wide",4
